trial,state,value,duration_s,param_lambda,param_beta
34,COMPLETE,0.42517616595037566,864.577495,0.8730423435867988,0.8191233335848074
35,COMPLETE,0.5309641298207026,2146.685827,0.5103662125699734,0.8487630985551099
36,COMPLETE,0.40588639324538817,590.867954,0.5715245851283888,0.7973882011489584
37,COMPLETE,0.4075909981972945,597.914282,0.920723187668131,0.7609166463684632
38,COMPLETE,0.14285714285714296,507.155125,14.718208701978199,0.726108373448407
39,COMPLETE,0.42458946139641185,832.65152,0.5301181907069471,0.8660722819312966
40,COMPLETE,0.5445011438191798,2063.847703,0.5181940826508421,0.789513491815057
41,COMPLETE,0.4511023648020881,1019.743832,0.6302430310326537,0.7400094319750784
42,COMPLETE,0.4427855512587861,991.461495,0.5245169971927995,0.8104415581434485
43,COMPLETE,0.547564890989149,2063.942036,0.5105298528495,0.8046646477612388
44,COMPLETE,0.5455381729718084,2118.059852,0.5274531793318203,0.7419343948735172
45,COMPLETE,0.5463408520538693,2110.531571,0.5337783228697777,0.7318842330996146
46,COMPLETE,0.5599522084161904,2130.083189,0.5020525953327624,0.7026460023584077
47,COMPLETE,0.41058712514592666,607.733984,0.8312568221257647,0.6747218035552685
48,COMPLETE,0.4483043164629031,1005.498123,0.6257135140252156,0.6524415083384634
49,COMPLETE,0.15384615384615383,517.254587,5.698125765652212,0.7216850938980842
50,COMPLETE,0.44916209023968534,884.850515,0.5568549761657108,0.6772819378283909
51,COMPLETE,0.43082916765967594,735.662039,0.6435241672149876,0.7073621367024066
52,COMPLETE,0.46320740563243207,998.602641,0.5019160317309697,0.7589240930479386
53,COMPLETE,0.4430893861644908,839.457109,0.8266088026398493,0.7000830101713506
54,COMPLETE,0.42435041674934765,717.419475,1.087796684701562,0.7507921271236984
55,COMPLETE,0.3676906964003736,423.865866,4.216510250621405,0.9453646750097473
56,COMPLETE,0.4074782859692082,484.122433,0.598650619331554,0.6521003219057259
57,COMPLETE,0.42893928552946364,708.950462,0.5052940615070853,0.7138042244091841
58,COMPLETE,0.47030005052887913,989.615067,0.5121301688678457,0.7258342389546708
59,COMPLETE,0.4042990440716435,488.014616,0.6976970193917896,0.9282248572849428
60,COMPLETE,0.4231581382124304,707.703172,0.9993533819895822,0.8091178411467127
61,COMPLETE,0.5630393423767316,1786.531296,0.5117854809260712,0.7340911722098227
62,COMPLETE,0.4304390896111038,716.166932,0.5537895759776166,0.7488640612974762
63,COMPLETE,0.4404771473202668,883.08384,0.9404223893443908,0.7404282914842544
64,COMPLETE,0.4480951801198948,843.729658,0.5057304836112045,0.6723390773756565
65,COMPLETE,0.3625577648158293,422.163449,2.5704217498388857,0.7651971905665809
66,COMPLETE,0.44844541318116954,880.395434,0.5076500810478918,0.7780051460242124
67,COMPLETE,0.41717205278600317,552.822437,0.5124473420135789,0.7220051830200409
68,COMPLETE,0.4057906927261371,547.358067,1.074871434622748,0.7718093118823248
69,COMPLETE,0.41735489840711254,558.389112,0.5135109589530376,0.7432042058674224
70,COMPLETE,0.43434171918011233,861.896854,0.5091538633526076,0.8426133493271531
71,COMPLETE,0.4054841000429814,537.938691,0.7928663922568132,0.7551158618048961
72,COMPLETE,0.5439819540216121,1927.434139,0.5132531781791412,0.7492166293196532
73,COMPLETE,0.565892490561066,1887.286706,0.5184688666248455,0.7074871033451725
74,COMPLETE,0.5440995586819171,1877.272918,0.5217762670357015,0.6416682490978864
75,COMPLETE,0.4035801198412937,536.078176,1.0069643943832383,0.6993940623222406
76,COMPLETE,0.4032844620737734,517.928463,0.50103219901709,0.6512568850116635
77,COMPLETE,0.4516769428688335,947.074113,0.519930218234132,0.8032135623431783
