protocol,method,tau,fold,source_file,BA,MacroF1,MacroAUC
A,ELR,0.0,9,results/main_experiment/scratch_adam/training/elr/tau_00/fold_09/test_metrics.json,0.533325228464192,0.3132831248643902,0.8609315933237822
A,ELR,0.1,0,results/main_experiment/scratch_adam/training/elr/tau_10/fold_00/test_metrics.json,0.5654330572808834,0.17994120892266902,0.8376520915727831
A,ELR,0.1,1,results/main_experiment/scratch_adam/training/elr/tau_10/fold_01/test_metrics.json,0.4919480064115408,0.1658169789797,0.8023302726958778
A,ELR,0.1,2,results/main_experiment/scratch_adam/training/elr/tau_10/fold_02/test_metrics.json,0.6063686569446939,0.2563028155404223,0.8637702230160386
A,ELR,0.1,3,results/main_experiment/scratch_adam/training/elr/tau_10/fold_03/test_metrics.json,0.5079702760467864,0.21439940988328085,0.8062886014888224
A,ELR,0.1,4,results/main_experiment/scratch_adam/training/elr/tau_10/fold_04/test_metrics.json,0.5335280450261906,0.20611277332768055,0.8176338285040691
A,ELR,0.1,5,results/main_experiment/scratch_adam/training/elr/tau_10/fold_05/test_metrics.json,0.543387256332399,0.19724148411039183,0.846236710359536
A,ELR,0.1,6,results/main_experiment/scratch_adam/training/elr/tau_10/fold_06/test_metrics.json,0.5257402711042033,0.179077649308197,0.8302553749844664
A,ELR,0.1,7,results/main_experiment/scratch_adam/training/elr/tau_10/fold_07/test_metrics.json,0.5864596154942673,0.2085005664240637,0.8560726934255166
A,ELR,0.1,8,results/main_experiment/scratch_adam/training/elr/tau_10/fold_08/test_metrics.json,0.5623433895961455,0.20940886006106862,0.8543437003603102
A,ELR,0.1,9,results/main_experiment/scratch_adam/training/elr/tau_10/fold_09/test_metrics.json,0.511572027999827,0.18844751721906092,0.8015972082478494
A,ELR,0.2,0,results/main_experiment/scratch_adam/training/elr/tau_20/fold_00/test_metrics.json,0.4998949497985263,0.1747015813918616,0.8385952148913527
A,ELR,0.2,1,results/main_experiment/scratch_adam/training/elr/tau_20/fold_01/test_metrics.json,0.5037943297936286,0.1590382217458177,0.7928876251414064
A,ELR,0.2,2,results/main_experiment/scratch_adam/training/elr/tau_20/fold_02/test_metrics.json,0.5161611174283985,0.2026941361153077,0.8349117918818705
A,ELR,0.2,3,results/main_experiment/scratch_adam/training/elr/tau_20/fold_03/test_metrics.json,0.39259732334664477,0.17474030558182138,0.7805344129838119
A,ELR,0.2,4,results/main_experiment/scratch_adam/training/elr/tau_20/fold_04/test_metrics.json,0.49435676163668874,0.1737215814350228,0.8077709476483129
A,ELR,0.2,5,results/main_experiment/scratch_adam/training/elr/tau_20/fold_05/test_metrics.json,0.5410120164162732,0.17778045320295321,0.8267643344645349
A,ELR,0.2,6,results/main_experiment/scratch_adam/training/elr/tau_20/fold_06/test_metrics.json,0.43719648903899033,0.1765389857991745,0.7794342587903239
A,ELR,0.2,7,results/main_experiment/scratch_adam/training/elr/tau_20/fold_07/test_metrics.json,0.5340325690984679,0.17150034912308657,0.8237871622999187
A,ELR,0.2,8,results/main_experiment/scratch_adam/training/elr/tau_20/fold_08/test_metrics.json,0.5467639899670508,0.19422361425483775,0.8447468734888376
A,ELR,0.2,9,results/main_experiment/scratch_adam/training/elr/tau_20/fold_09/test_metrics.json,0.47085770218416506,0.1713808990181364,0.7984513722741297
A,ELR,0.3,0,results/main_experiment/scratch_adam/training/elr/tau_30/fold_00/test_metrics.json,0.516723157238585,0.15857346792303856,0.8183364523382917
A,ELR,0.3,1,results/main_experiment/scratch_adam/training/elr/tau_30/fold_01/test_metrics.json,0.5084054075112981,0.1486843782772865,0.7946147070805554
A,ELR,0.3,2,results/main_experiment/scratch_adam/training/elr/tau_30/fold_02/test_metrics.json,0.4931721760062774,0.20302342322132075,0.8088927136236718
A,ELR,0.3,3,results/main_experiment/scratch_adam/training/elr/tau_30/fold_03/test_metrics.json,0.427868638316211,0.14596431876962232,0.7703950134496037
A,ELR,0.3,4,results/main_experiment/scratch_adam/training/elr/tau_30/fold_04/test_metrics.json,0.4464519977876177,0.15792773741435334,0.8005615873597273
A,ELR,0.3,5,results/main_experiment/scratch_adam/training/elr/tau_30/fold_05/test_metrics.json,0.49895642889534925,0.15283570255079945,0.7995017171756112
A,ELR,0.3,6,results/main_experiment/scratch_adam/training/elr/tau_30/fold_06/test_metrics.json,0.428356759330086,0.1389215379504468,0.7529386774183484
A,ELR,0.3,7,results/main_experiment/scratch_adam/training/elr/tau_30/fold_07/test_metrics.json,0.5290581145129617,0.14673454852137402,0.8207163270871354
A,ELR,0.3,8,results/main_experiment/scratch_adam/training/elr/tau_30/fold_08/test_metrics.json,0.5422376255787467,0.17346184595178007,0.8375804459442824
A,ELR,0.3,9,results/main_experiment/scratch_adam/training/elr/tau_30/fold_09/test_metrics.json,0.4619165772812801,0.16565386954253092,0.8019750916342653
A,ELR,0.4,0,results/main_experiment/scratch_adam/training/elr/tau_40/fold_00/test_metrics.json,0.4733736002582426,0.12879964804943847,0.8114416299899758
A,ELR,0.4,1,results/main_experiment/scratch_adam/training/elr/tau_40/fold_01/test_metrics.json,0.4731363676840535,0.13444129885241168,0.7793471933208449
A,ELR,0.4,2,results/main_experiment/scratch_adam/training/elr/tau_40/fold_02/test_metrics.json,0.49737549956443966,0.16371229533025952,0.8085145319621233
A,ELR,0.4,3,results/main_experiment/scratch_adam/training/elr/tau_40/fold_03/test_metrics.json,0.4237249987770788,0.14716420715796588,0.7729172043309671
A,ELR,0.4,4,results/main_experiment/scratch_adam/training/elr/tau_40/fold_04/test_metrics.json,0.4321874764716704,0.13301263665964833,0.7684370678303234
A,ELR,0.4,5,results/main_experiment/scratch_adam/training/elr/tau_40/fold_05/test_metrics.json,0.4589920533488482,0.12379221973113326,0.7800126744908722
