protocol,metric,method,tau,folds,n,delta,delta_ci_lo,delta_ci_hi,W,p_wilcoxon,p_perm,r_rb,direction,n_boot,perm_exact,p_wilcoxon_holm,p_perm_holm,sig,sig_perm,concordant,flag,p_raw,p_holm,mean_delta
SP,BA,AsyCo,0.0,"0,1,2,3,4,5,6,7,8,9",10,-0.06882524088071106,-0.12241025015539053,-0.027557211520506913,4.0,0.013671875,0.01171875,-0.8545454545454545,-1,10000,True,0.068359375,0.05859375,n.s.,n.s.,True,,0.013671875,0.068359375,-0.06882524088071106
SP,BA,AsyCo,0.1,"0,1,2,3,4,5,6,7,8,9",10,-0.051835451438224864,-0.08796277339113659,-0.018226456553300435,7.0,0.037109375,0.029296875,-0.7454545454545455,-1,10000,True,0.111328125,0.087890625,n.s.,n.s.,True,,0.037109375,0.111328125,-0.051835451438224864
SP,BA,AsyCo,0.2,"0,1,2,3,4,5,6,7,8,9",10,-0.05246179142107774,-0.08740361535649026,-0.02265543036692426,4.0,0.013671875,0.01171875,-0.8545454545454545,-1,10000,True,0.068359375,0.05859375,n.s.,n.s.,True,,0.013671875,0.068359375,-0.05246179142107774
SP,BA,AsyCo,0.3,"0,1,2,3,4,5,6,7,8,9",10,-0.07084798604237598,-0.09411116350280399,-0.04899431223493261,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.07084798604237598
SP,BA,AsyCo,0.4,"0,1,2,3,4,5,6,7,8,9",10,0.002705112508508023,-0.0234022831385588,0.03610799112503493,22.0,0.625,0.943359375,0.19999999999999996,1,10000,True,0.86328125,0.943359375,n.s.,n.s.,True,,0.625,0.86328125,0.002705112508508023
SP,BA,AsyCo,0.5,"0,1,2,3,4,5,6,7,8,9",10,-0.01212744959801596,-0.039724831052154255,0.019281666136931806,19.0,0.431640625,0.458984375,-0.3090909090909091,-1,10000,True,0.86328125,0.91796875,n.s.,n.s.,True,,0.431640625,0.86328125,-0.01212744959801596
SP,MacroF1,SCE,0.0,"0,1,2,3,4,5,6,7,8,9",10,0.16811956896661862,0.14789146470105005,0.18623819844015854,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.16811956896661862
SP,MacroF1,SCE,0.1,"0,1,2,3,4,5,6,7,8,9",10,0.3026252136189419,0.2831894629377603,0.31875376932735083,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.3026252136189419
SP,MacroF1,SCE,0.2,"0,1,2,3,4,5,6,7,8,9",10,0.24803628871095676,0.23221020803911435,0.2631009066295777,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.24803628871095676
SP,MacroF1,SCE,0.3,"0,1,2,3,4,5,6,7,8,9",10,0.1931626869203939,0.17349962440209732,0.2114170292048296,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.1931626869203939
SP,MacroF1,SCE,0.4,"0,1,2,3,4,5,6,7,8,9",10,0.16278026279165675,0.1437844794926522,0.18282571534476294,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.16278026279165675
SP,MacroF1,SCE,0.5,"0,1,2,3,4,5,6,7,8,9",10,0.11341464469389692,0.10155717802518834,0.12632354112935323,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.11341464469389692
SP,MacroF1,ELR,0.0,"0,1,2,3,4,5,6,7,8,9",10,-0.11808818289125944,-0.14103311244911634,-0.09772524774829981,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.11808818289125944
SP,MacroF1,ELR,0.1,"0,1,2,3,4,5,6,7,8,9",10,-0.012138822539407665,-0.020680635921380544,-0.0014762628653749053,9.0,0.064453125,0.044921875,-0.6727272727272727,-1,10000,True,0.193359375,0.1640625,n.s.,n.s.,True,,0.064453125,0.193359375,-0.012138822539407665
SP,MacroF1,ELR,0.2,"0,1,2,3,4,5,6,7,8,9",10,-0.01203428698553707,-0.024058470324463503,-6.30307975121146e-05,11.0,0.10546875,0.09375,-0.6,-1,10000,True,0.2109375,0.1875,n.s.,n.s.,True,,0.10546875,0.2109375,-0.01203428698553707
SP,MacroF1,ELR,0.3,"0,1,2,3,4,5,6,7,8,9",10,-0.009566859262797805,-0.020594268558844633,0.0016847368483064507,14.0,0.193359375,0.15234375,-0.49090909090909096,-1,10000,True,0.2109375,0.1875,n.s.,n.s.,True,,0.193359375,0.2109375,-0.009566859262797805
SP,MacroF1,ELR,0.4,"0,1,2,3,4,5,6,7,8,9",10,-0.021408017410193464,-0.037722639716380776,-0.005295637697749111,7.0,0.037109375,0.041015625,-0.7454545454545455,-1,10000,True,0.1484375,0.1640625,n.s.,n.s.,True,,0.037109375,0.1484375,-0.021408017410193464
SP,MacroF1,ELR,0.5,"0,1,2,3,4,5,6,7,8,9",10,-0.022756526454225434,-0.037060618739152326,-0.00927873623759516,3.0,0.009765625,0.009765625,-0.8909090909090909,-1,10000,True,0.048828125,0.048828125,-*,-*,True,,0.009765625,0.048828125,-0.022756526454225434
SP,MacroF1,AsyCo,0.0,"0,1,2,3,4,5,6,7,8,9",10,-0.11382926597203155,-0.16132962741344437,-0.07616122329864723,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.11382926597203155
SP,MacroF1,AsyCo,0.1,"0,1,2,3,4,5,6,7,8,9",10,-0.03136690083578334,-0.05811897309607532,-0.0031889706883337114,9.0,0.064453125,0.060546875,-0.6727272727272727,-1,10000,True,0.146484375,0.134765625,n.s.,n.s.,True,,0.064453125,0.146484375,-0.03136690083578334
