protocol,metric,method,tau,method_mean,baseline_mean,delta,rel_pct
A,MacroAUC,ELR,0.4,0.7851101833432115,0.7978153164340347,-0.012705133090823217,-1.5924904961226962
A,MacroAUC,ELR,0.5,0.7755219424494872,0.790169895576789,-0.014647953127301716,-1.8537726138768373
A,MacroAUC,AsyCo,0.0,0.8738834410792075,0.9004541817985323,-0.02657074071932486,-2.950815405871456
A,MacroAUC,AsyCo,0.1,0.8457082845986982,0.8414051906471084,0.004303093951589787,0.5114175666399634
A,MacroAUC,AsyCo,0.2,0.8361524543806143,0.821349634197437,0.014802820183177245,1.8022556493424975
A,MacroAUC,AsyCo,0.3,0.8157590676134632,0.8154688993958608,0.0002901682176024156,0.03558299008305362
A,MacroAUC,AsyCo,0.4,0.8059448757266677,0.7978153164340347,0.008129559292633037,1.0189775910757672
A,MacroAUC,AsyCo,0.5,0.7754191899453222,0.790169895576789,-0.014750705631466743,-1.8667764633958097
AP,BA,SCE,0.0,0.7544293344630347,0.7494312960234173,0.004998038439617436,0.6669108250666468
AP,BA,SCE,0.1,0.7121463243029715,0.609436589671853,0.10270973463111854,16.85322745167334
AP,BA,SCE,0.2,0.6682637986711761,0.6023901739509616,0.06587362472021452,10.93537503909834
AP,BA,SCE,0.3,0.6105454415874412,0.5429261387642884,0.06761930282315276,12.454604410289722
AP,BA,SCE,0.4,0.5751492869566317,0.5232735730034139,0.05187571395321777,9.913688867463469
AP,BA,SCE,0.5,0.5428419666486621,0.4823738447994227,0.06046812184923944,12.535530792384248
AP,BA,ELR,0.0,0.6718071628817077,0.7494312960234173,-0.07762413314170957,-10.357738401584456
AP,BA,ELR,0.1,0.6129771257511152,0.609436589671853,0.003540536079262191,0.5809523319183327
AP,BA,ELR,0.2,0.6103851095281267,0.6023901739509616,0.00799493557716513,1.3272021893597434
AP,BA,ELR,0.3,0.55997265185663,0.5429261387642884,0.01704651309234162,3.139748093753572
AP,BA,ELR,0.4,0.5203407095530308,0.5232735730034139,-0.0029328634503831275,-0.5604837701910838
AP,BA,ELR,0.5,0.4911386205143792,0.4823738447994227,0.008764775714956485,1.8170089049088043
AP,BA,AsyCo,0.0,0.6593444404171899,0.7494312960234173,-0.09008685560622742,-12.020695704094603
AP,BA,AsyCo,0.1,0.5865625090469084,0.609436589671853,-0.02287408062494456,-3.7533159335347674
AP,BA,AsyCo,0.2,0.5629813570692693,0.6023901739509616,-0.03940881688169229,-6.542074984925039
AP,BA,AsyCo,0.3,0.5392014432926644,0.5429261387642884,-0.0037246954716240177,-0.6860409189547412
AP,BA,AsyCo,0.4,0.5330609075868331,0.5232735730034139,0.009787334583419183,1.8704049064131372
AP,BA,AsyCo,0.5,0.5115882537145033,0.4823738447994227,0.029214408915080647,6.056383286541661
AP,MacroF1,SCE,0.0,0.6716846331032109,0.567743227940075,0.10394140516313588,18.307819459205742
AP,MacroF1,SCE,0.1,0.5014724883731895,0.2552552645507892,0.2462172238224003,96.45921476123344
AP,MacroF1,SCE,0.2,0.4157512302872563,0.2372219341531466,0.1785292961341097,75.2583426871708
AP,MacroF1,SCE,0.3,0.34503362116151803,0.20574516630436154,0.1392884548571565,67.69950291376725
AP,MacroF1,SCE,0.4,0.27695004404903095,0.18837490138086144,0.08857514266816952,47.02067102298618
AP,MacroF1,SCE,0.5,0.23331129460074282,0.16962671828397935,0.06368457631676347,37.54395354754573
AP,MacroF1,ELR,0.0,0.417017582182979,0.567743227940075,-0.15072564575709602,-26.548206713793693
AP,MacroF1,ELR,0.1,0.24978368794655387,0.2552552645507892,-0.0054715766042353065,-2.143570521009413
AP,MacroF1,ELR,0.2,0.24166146778670483,0.2372219341531466,0.004439533633558229,1.871468441317125
AP,MacroF1,ELR,0.3,0.2084985093633503,0.20574516630436154,0.0027533430589887498,1.338229766679278
AP,MacroF1,ELR,0.4,0.1809361926271133,0.18837490138086144,-0.0074387087537481356,-3.948885281011165
