method,dataset,init,optim,tau,fold,balanced_accuracy,macro_f1,weighted_f1,macro_auc,n_samples,nta,lnmr,n_flipped,n_train,empirical_flip_rate,per_class_f1_akiec,per_class_f1_bcc,per_class_f1_bkl,per_class_f1_df,per_class_f1_mel,per_class_f1_nv,per_class_f1_vasc
asyco_divmix,imbalanced,scratch,sgd,0.5,7,0.3438462779683647,0.13537168301806907,0.05123435734169669,0.7718031461548843,747,0.09603150560436231,0.1932747652226598,3301,6723,0.4910010412018444,0.26666666666666666,0.3333333333333333,0.0196078431372549,0.0,0.28368794326241137,0.0036968576709796672,0.04060913705583756
asyco_divmix,imbalanced,scratch,sgd,0.5,8,0.47409584772002183,0.13898759484738446,0.05586942390106269,0.8159809457626469,747,0.08870967741935484,0.22849462365591397,3348,6723,0.4979919678714859,0.24285714285714285,0.3181818181818182,0.02702702702702703,0.061855670103092786,0.23958333333333334,0.014705882352941176,0.06870229007633588
asyco_divmix,imbalanced,scratch,sgd,0.5,9,0.3818836866619749,0.11053827558046947,0.042038138221203135,0.810220670500563,747,0.06978137166816412,0.18808026355196167,3339,6723,0.4966532797858099,0.17813765182186234,0.29850746268656714,0.10204081632653061,0.03571428571428571,0.08849557522123894,0.007380073800738007,0.06349206349206349
baseline,imbalanced,scratch,sgd,0.0,0,0.6969054438675588,0.45451871168466107,0.6420324732611522,0.9097453801326484,747,,,0,6723,0.0,0.34146341463414637,0.5360824742268041,0.38666666666666666,0.3157894736842105,0.3829787234042553,0.7321637426900585,0.4864864864864865
baseline,imbalanced,scratch,sgd,0.0,1,0.6311403476555603,0.40237231681025815,0.6162669401521591,0.8829702007468269,747,,,0,6723,0.0,0.32558139534883723,0.5,0.40559440559440557,0.1111111111111111,0.37168141592920356,0.7026378896882494,0.4
baseline,imbalanced,scratch,sgd,0.0,2,0.655297983356409,0.4198574816354661,0.6138229931683465,0.909620280586041,747,,,0,6723,0.0,0.32075471698113206,0.4864864864864865,0.4246575342465753,0.16216216216216217,0.34782608695652173,0.6971153846153846,0.5
baseline,imbalanced,scratch,sgd,0.0,3,0.6384117507436742,0.44010261037796344,0.6242354770152384,0.8830062915994757,747,,,0,6723,0.0,0.3404255319148936,0.6233766233766234,0.4276729559748428,0.09523809523809523,0.36363636363636365,0.7009569377990431,0.5294117647058824
baseline,imbalanced,scratch,sgd,0.0,4,0.6127780996521869,0.4480827057427771,0.6349870442576939,0.8654426045916553,747,,,0,6723,0.0,0.32608695652173914,0.5633802816901409,0.379746835443038,0.11320754716981132,0.36363636363636365,0.7238542890716804,0.6666666666666666
baseline,imbalanced,scratch,sgd,0.0,5,0.6569612081145934,0.4223796060892206,0.6011996372108964,0.9070840816355369,747,,,0,6723,0.0,0.38461538461538464,0.48936170212765956,0.3741935483870968,0.2222222222222222,0.2971887550200803,0.6890756302521008,0.5
baseline,imbalanced,scratch,sgd,0.0,6,0.6206297918318429,0.3966278421419685,0.6005138465958325,0.8888185981496363,747,,,0,6723,0.0,0.30357142857142855,0.5679012345679012,0.32051282051282054,0.22857142857142856,0.29955947136563876,0.6962785114045619,0.36
baseline,imbalanced,scratch,sgd,0.0,7,0.7383237547358882,0.4785844654881822,0.6544451451091611,0.9110296170877568,747,,,0,6723,0.0,0.43373493975903615,0.5842696629213483,0.5061728395061729,0.2857142857142857,0.38392857142857145,0.7276995305164319,0.42857142857142855
baseline,imbalanced,scratch,sgd,0.0,8,0.6762488575280008,0.4199588357543295,0.602921795087285,0.9063968094826915,747,,,0,6723,0.0,0.297029702970297,0.5217391304347826,0.40963855421686746,0.18518518518518517,0.3686635944700461,0.681265206812652,0.47619047619047616
baseline,imbalanced,scratch,sgd,0.0,9,0.6604088950070287,0.44917053732575213,0.600639380177612,0.9025756018589772,747,,,0,6723,0.0,0.33707865168539325,0.5897435897435898,0.4523809523809524,0.2222222222222222,0.3203125,0.6707317073170732,0.5517241379310345
