dataset,init,optim,method,tau,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_auc_mean,macro_auc_std,nta_mean,nta_std,lnmr_mean,lnmr_std,empirical_flip_rate_mean,empirical_flip_rate_std,per_class_f1_akiec_mean,per_class_f1_akiec_std,per_class_f1_bcc_mean,per_class_f1_bcc_std,per_class_f1_bkl_mean,per_class_f1_bkl_std,per_class_f1_df_mean,per_class_f1_df_std,per_class_f1_mel_mean,per_class_f1_mel_std,per_class_f1_nv_mean,per_class_f1_nv_std,per_class_f1_vasc_mean,per_class_f1_vasc_std,n_folds
imbalanced,scratch,sgd,elr,0.2,0.5357147355928619,0.04829462796839281,0.19206145430933455,0.017255181879369898,0.0768555997799662,0.008239394652689516,0.824712334159743,0.021398979756563744,0.10344167150469856,0.009045355840511927,0.4150091619890534,0.03268760283425889,0.20504239178937972,0.0032717851844510596,0.2295905145325518,0.03647677069219241,0.4063280779340258,0.04053207724027224,0.30709313196912175,0.06445823329567425,0.07566544161619317,0.018203567689696328,0.24072023647655255,0.028221834698581538,0.0007380073800738007,0.0023337842510467743,0.08429477025682305,0.02202800198003115,10
imbalanced,scratch,sgd,elr,0.3,0.4989460993264839,0.03258512620452963,0.1701648880783894,0.016198936954587892,0.06680089313538691,0.00883869121038253,0.8076321490277125,0.017956872847792727,0.09006791257736704,0.005769879619883499,0.3626637242604499,0.017588092903859747,0.2996281421984233,0.004213046599640937,0.2024177141248659,0.020384137175299903,0.37662747342818126,0.0416401185911165,0.25832970357122365,0.07241689070539008,0.06725241018515277,0.013828118029091781,0.21061512561091758,0.043721282254693364,0.0,0.0,0.07591178962838466,0.014966813823104025,10
imbalanced,scratch,sgd,elr,0.4,0.46739594149808933,0.027677987680629262,0.1421629552988172,0.009499735556074213,0.051819867093785985,0.0059003294022718,0.7880970676341852,0.017956055266395075,0.0790484446130085,0.005253973189019688,0.33151931366284215,0.016783709811595333,0.3981407109921166,0.005996252371423116,0.19072111768825517,0.022331027856871955,0.3372599195307224,0.046431959510470106,0.16479926914035042,0.054734676113722756,0.06084780830311224,0.017527855381435368,0.1652043857008366,0.0466972469106399,0.0,0.0,0.07630818672844349,0.015315669007071245,10
imbalanced,scratch,sgd,elr,0.5,0.44799657931921455,0.04074416573611954,0.12697445392944318,0.021804216206812936,0.0459863078250843,0.012355259292773514,0.7833434167759317,0.023018234739889475,0.07057261261251813,0.005583884723875425,0.2948307796681468,0.01774499705968643,0.4985869403540086,0.005316974215262829,0.1740339568918941,0.01636235751165023,0.313262816016224,0.05500519743360916,0.13481717170818128,0.06929942336719394,0.0632886690913361,0.015976153952645244,0.13024931873469164,0.05909966631574739,0.002209944751381215,0.0046589726116661205,0.0709593003123939,0.011029680498420652,10
imbalanced,scratch,sgd,sce,0.0,0.6725503441505468,0.03863482215275786,0.5740737268829723,0.035092717390524795,0.7628462991476035,0.011975161842690063,0.9388864811635991,0.01004686290154024,,,,,0.0,0.0,0.4036691953240387,0.04103197722368819,0.6130316743601657,0.03794040181481767,0.5389663690394123,0.036523109611146035,0.41078127067291154,0.12467281793008018,0.4273666214912072,0.037155795224542695,0.8599601042763556,0.013017658156063193,0.764740853016715,0.09732187611356598,10
imbalanced,scratch,sgd,sce,0.1,0.6301871248774349,0.05325939222129627,0.4095739547521847,0.03111806703599419,0.633250095881266,0.012914800973522574,0.8846376126358525,0.014075996986239436,0.4350627580366277,0.02532623890522138,0.42889093204708617,0.020077351659922343,0.12763647181317864,0.00294283418166978,0.35010309113873256,0.07330242620950049,0.5033719989014966,0.03627923791579024,0.4890113008676467,0.03900997540342419,0.18643786036435173,0.1104563915300399,0.36214460414701216,0.025687163577613418,0.7160654626466666,0.013042234688105097,0.2598833651993869,0.07317331180663934,10
imbalanced,scratch,sgd,sce,0.2,0.6258528664930394,0.02713736370797755,0.3593333549838446,0.008324177122621623,0.5297993116516532,0.011410895298156174,0.8696841627743341,0.015293807088715736,0.3593607512470694,0.015406955061859072,0.45524295903567136,0.017830761361950265,0.20504239178937972,0.0032717851844510596,0.3305907212870765,0.0344005485963526,0.46498581607429135,0.04383182126078247,0.47317768925739856,0.03973853764337068,0.13509352577528239,0.04313697295952489,0.3351209462951684,0.01864672373615209,0.5832824298773437,0.017748559515822687,0.19308235632035156,0.0373042970314686,10
imbalanced,scratch,sgd,sce,0.3,0.5678171264509215,0.044169505279153955,0.2969650863646524,0.020341988889264168,0.4253764328759072,0.03182536896484193,0.8413416357175907,0.023518071525131364,0.29586001074683665,0.01767531661419,0.4526115607199318,0.014527820530736424,0.2996281421984233,0.004213046599640937,0.28375620323641443,0.026098202807282502,0.4082459604983738,0.04573066277420502,0.3997170622819313,0.0642844457879879,0.10123329779562176,0.02970326615016655,0.27731340661016074,0.0369085501421164,0.4621021206624144,0.0366867007891461,0.1463875534676506,0.039072205888748476,10
imbalanced,scratch,sgd,sce,0.4,0.5422127736766699,0.031494627808307245,0.240961217471033,0.01694509112158716,0.263321060007362,0.061302225727473444,0.8224255153062963,0.014053370635349673,0.1977569229894577,0.03236538364915336,0.4741455492346927,0.03443711750956261,0.3981407109921166,0.005996252371423116,0.28184328307235007,0.0477020327344192,0.3693180933086407,0.03312103837089756,0.34931807165109074,0.06844869349192366,0.08638061973135273,0.03652697876113377,0.21427786505596164,0.05078944051792898,0.25493693389469063,0.0824362792467448,0.13065365558314418,0.01830893540676266,10
imbalanced,scratch,sgd,sce,0.5,0.5036872708622167,0.03280387974499935,0.19997602307119444,0.016012288774747873,0.15874103716053584,0.0410171722194947,0.805801329329423,0.017662077535649655,0.14278603268346857,0.022398113188314108,0.47545032913252233,0.018543221739802145,0.4985869403540086,0.005316974215262829,0.264749695238069,0.0254173983616533,0.3502648082580914,0.03509116891904391,0.3039269401831598,0.06013417581453212,0.07335292576349797,0.021450579166389525,0.1663828808342983,0.03086990430762425,0.12419360921504194,0.05799345765255959,0.11696130200620272,0.027599698678388268,10
