method,dataset,init,optim,tau,fold,balanced_accuracy,macro_f1,weighted_f1,macro_auc,n_samples,nta,lnmr,n_flipped,n_train,empirical_flip_rate,per_class_f1_akiec,per_class_f1_bcc,per_class_f1_bkl,per_class_f1_df,per_class_f1_mel,per_class_f1_nv,per_class_f1_vasc
asyco_divmix,imbalanced,pretrained,adam,0.1,3,0.6125533883661527,0.29151919274286936,0.25200947464154455,0.8657095583626938,747,0.2361275088547816,0.3116883116883117,847,6723,0.12598542317417818,0.38202247191011235,0.6,0.37168141592920356,0.09917355371900827,0.313953488372093,0.20757825370675453,0.06622516556291391
asyco_divmix,imbalanced,pretrained,adam,0.1,4,0.5824992058875839,0.311273695051554,0.3791618953360549,0.862171131825959,747,0.28536585365853656,0.2939024390243902,820,6723,0.12196935891715008,0.3238095238095238,0.6376811594202898,0.3247863247863248,0.10810810810810811,0.32679738562091504,0.38823529411764707,0.0694980694980695
asyco_divmix,imbalanced,pretrained,adam,0.1,5,0.6301649559399587,0.3134011822460266,0.3593071764416624,0.8864405709152453,747,0.2672209026128266,0.29334916864608074,842,6723,0.12524170757102485,0.45,0.5168539325842697,0.3728813559322034,0.0673076923076923,0.31446540880503143,0.35735735735735735,0.11494252873563218
asyco_divmix,imbalanced,pretrained,adam,0.1,6,0.5858979245061348,0.2775724355880115,0.2952347081755195,0.8605248272489493,747,0.21330275229357798,0.31995412844036697,872,6723,0.12970400118994496,0.43564356435643564,0.4675324675324675,0.33663366336633666,0.0759493670886076,0.25961538461538464,0.28391167192429023,0.08372093023255814
asyco_divmix,imbalanced,pretrained,adam,0.1,7,0.4641480755136424,0.23394843041026125,0.17058092273169878,0.7738672037814096,747,0.12954545454545455,0.2625,880,6723,0.13089394615499034,0.2857142857142857,0.5866666666666667,0.3090909090909091,0.05785123966942149,0.26666666666666666,0.11498257839721254,0.016666666666666666
asyco_divmix,imbalanced,pretrained,adam,0.1,8,0.5990885766713493,0.2872267402901692,0.2609163801866264,0.8737084846636095,747,0.19932432432432431,0.34797297297297297,888,6723,0.13208389112003568,0.36,0.5048543689320388,0.4411764705882353,0.09395973154362416,0.34285714285714286,0.214168039538715,0.05357142857142857
asyco_divmix,imbalanced,pretrained,adam,0.1,9,0.6501840039704108,0.29222205967013787,0.3465295368844093,0.8723279894913617,747,0.2637106184364061,0.3313885647607935,857,6723,0.1274728543804849,0.304,0.4528301886792453,0.352,0.08205128205128205,0.30601092896174864,0.3525835866261398,0.19607843137254902
asyco_divmix,imbalanced,pretrained,adam,0.2,0,0.5631798782787453,0.23849499842379032,0.21972219191464443,0.8701774829790105,747,0.1974156496769562,0.31299353912419237,1393,6723,0.20719916703852448,0.3188405797101449,0.4857142857142857,0.25,0.08888888888888889,0.2553191489361702,0.19601328903654486,0.07468879668049792
asyco_divmix,imbalanced,pretrained,adam,0.2,1,0.5705458403376232,0.2334489399230579,0.24268050355828627,0.8607523165870746,747,0.21151079136690648,0.30935251798561153,1390,6723,0.20675293767663244,0.3,0.4946236559139785,0.22764227642276422,0.0963855421686747,0.20118343195266272,0.237012987012987,0.07729468599033816
asyco_divmix,imbalanced,pretrained,adam,0.2,2,0.6137098725491104,0.2942882458173695,0.28437860644916874,0.8730674852028829,747,0.2219020172910663,0.34438040345821325,1388,6723,0.2064554514353711,0.328125,0.5897435897435898,0.40310077519379844,0.06666666666666667,0.33519553072625696,0.24878836833602586,0.08839779005524862
asyco_divmix,imbalanced,pretrained,adam,0.2,3,0.4959089938952322,0.24514446561416256,0.21412397751885906,0.8423014924795706,747,0.1881918819188192,0.2863468634686347,1355,6723,0.201546928454559,0.38,0.5348837209302325,0.272,0.05263157894736842,0.24516129032258063,0.1815126050420168,0.0498220640569395
asyco_divmix,imbalanced,pretrained,adam,0.2,4,0.4970902943215559,0.2282005796404189,0.16476737269004077,0.793033934495049,747,0.16492537313432837,0.3567164179104478,1340,6723,0.19931578164509892,0.2644628099173554,0.5,0.2857142857142857,0.09345794392523364,0.29906542056074764,0.11169284467713787,0.043010752688172046
asyco_divmix,imbalanced,pretrained,adam,0.2,5,0.6383157163794964,0.2860696894376704,0.3350803179131545,0.8688768077005088,747,0.26999266324284665,0.34262655906089506,1363,6723,0.20273687341960434,0.336283185840708,0.45614035087719296,0.3916083916083916,0.09302325581395349,0.2336448598130841,0.3379416282642089,0.15384615384615385
asyco_divmix,imbalanced,pretrained,adam,0.2,6,0.5522099768585145,0.2449714962306413,0.21113420183411755,0.8600375333315268,747,0.20014295925661185,0.3295210864903502,1399,6723,0.2080916257623085,0.3883495145631068,0.39603960396039606,0.3652173913043478,0.07518796992481203,0.24742268041237114,0.1717171717171717,0.07086614173228346
asyco_divmix,imbalanced,pretrained,adam,0.2,7,0.5856416473843765,0.264475969555468,0.2584242992600286,0.8550104516343723,747,0.201423487544484,0.36298932384341637,1405,6723,0.20898408448609251,0.3130434782608696,0.48598130841121495,0.4,0.06329113924050633,0.24770642201834864,0.22950819672131148,0.11180124223602485
asyco_divmix,imbalanced,pretrained,adam,0.2,8,0.60314769656591,0.2700792726638516,0.24705196742478794,0.872526516584697,747,0.18893678160919541,0.2938218390804598,1392,6723,0.2070504239178938,0.32075471698113206,0.5287356321839081,0.34782608695652173,0.09523809523809523,0.3157894736842105,0.21052631578947367,0.07168458781362007
asyco_divmix,imbalanced,pretrained,adam,0.2,9,0.5100636541221296,0.2746534121223532,0.3222420808463193,0.8359058742284164,747,0.24485294117647058,0.2823529411764706,1360,6723,0.20229064405771233,0.3582089552238806,0.4752475247524752,0.35,0.05291005291005291,0.2857142857142857,0.3204930662557781,0.08
asyco_divmix,imbalanced,pretrained,adam,0.3,0,0.5061054252244305,0.19455420518425331,0.1636763182636879,0.8436222585536308,747,0.1741049534085336,0.2883766552231486,2039,6723,0.30328722296593785,0.2905982905982906,0.34146341463414637,0.26666666666666666,0.075,0.189873417721519,0.13402061855670103,0.0642570281124498
asyco_divmix,imbalanced,pretrained,adam,0.3,1,0.5231672517308728,0.23809223127482898,0.2661928386122024,0.8404327415810415,747,0.22950024260067928,0.31392527899078115,2061,6723,0.30655957161981257,0.28346456692913385,0.49411764705882355,0.20952380952380953,0.08695652173913043,0.2617801047120419,0.266025641025641,0.06477732793522267
asyco_divmix,imbalanced,pretrained,adam,0.3,2,0.5140442462835709,0.2486713937134105,0.22513981415469722,0.866211471198942,747,0.18624497991967873,0.2605421686746988,1992,6723,0.2962962962962963,0.3063063063063063,0.6,0.22857142857142856,0.0641025641025641,0.2923076923076923,0.19607843137254902,0.05333333333333334
asyco_divmix,imbalanced,pretrained,adam,0.3,3,0.5415906292082039,0.23316348014306312,0.1390934799337589,0.8397301233884095,747,0.13891625615763548,0.3669950738916256,2030,6723,0.3019485348802618,0.31343283582089554,0.5569620253164557,0.3008849557522124,0.08547008547008547,0.242914979757085,0.0748663101604278,0.05761316872427984
asyco_divmix,imbalanced,pretrained,adam,0.3,4,0.5212384604622792,0.21996038437288523,0.19744883876438932,0.844304701808763,747,0.18430379746835443,0.2688607594936709,1975,6723,0.2937676632455749,0.25,0.5238095238095238,0.1836734693877551,0.061855670103092786,0.27941176470588236,0.17200674536256325,0.06896551724137931
asyco_divmix,imbalanced,pretrained,adam,0.3,5,0.5397510594047787,0.22960929307638422,0.17516894701468522,0.8398130270159634,747,0.1551288529560384,0.28600303183425974,1979,6723,0.29436263572809757,0.36893203883495146,0.5348837209302325,0.26,0.075,0.16759776536312848,0.13769363166953527,0.06315789473684211
asyco_divmix,imbalanced,pretrained,adam,0.3,6,0.5487203498447923,0.21064086552144998,0.14865727284977673,0.8302556631370112,747,0.14208721215090642,0.29446349828515433,2041,6723,0.30358470920719915,0.3865546218487395,0.38202247191011235,0.205607476635514,0.0821917808219178,0.24581005586592178,0.10801393728222997,0.06428571428571428
asyco_divmix,imbalanced,pretrained,adam,0.3,7,0.5776293917328713,0.23504986024525712,0.23512344339052554,0.8553161282187091,747,0.19811320754716982,0.3073485600794439,2014,6723,0.29956864495017105,0.29411764705882354,0.41025641025641024,0.34782608695652173,0.07894736842105263,0.20689655172413793,0.2145214521452145,0.09278350515463918
