protocol,metric,tau,best_method,next_method,folds,exploratory,n,delta,delta_ci_lo,delta_ci_hi,W,p_wilcoxon,p_perm,r_rb,direction,n_boot,perm_exact,p_wilcoxon_holm,p_perm_holm,sig,sig_perm,concordant,flag,p_raw,p_holm,mean_delta
A,MacroF1,0.5,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.038438010144292954,0.027604421319097405,0.04821195486258559,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.038438010144292954
A,MacroAUC,0.0,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.03842152319643869,0.0313760316958826,0.04614739297752778,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.03842152319643869
A,MacroAUC,0.1,SCE,AsyCo,"0,1,2,3,4,5,6,7,8,9",True,10,0.031186847751715752,0.019833804197672066,0.04363059368056238,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.031186847751715752
A,MacroAUC,0.2,SCE,AsyCo,"0,1,2,3,4,5,6,7,8,9",True,10,0.023972225792342528,0.010420939404361357,0.03876249947354931,5.0,0.01953125,0.01171875,0.8181818181818181,1,10000,True,0.041015625,0.0390625,+*,+*,True,,0.01953125,0.041015625,0.023972225792342528
A,MacroAUC,0.3,SCE,AsyCo,"0,1,2,3,4,5,6,7,8,9",True,10,0.021456155695112545,0.009474080332807217,0.03341199313333046,3.0,0.009765625,0.01171875,0.8909090909090909,1,10000,True,0.0390625,0.0390625,+*,+*,True,,0.009765625,0.0390625,0.021456155695112545
A,MacroAUC,0.4,SCE,AsyCo,"0,1,2,3,4,5,6,7,8,9",True,10,0.00531866238680454,-0.012379745769183674,0.02064685799009782,20.0,0.4921875,0.55859375,0.2727272727272727,1,10000,True,0.4921875,0.55859375,n.s.,n.s.,True,,0.4921875,0.4921875,0.00531866238680454
A,MacroAUC,0.5,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.007814534969073162,0.0036720900815599513,0.012117859860767613,4.0,0.013671875,0.009765625,0.8545454545454545,1,10000,True,0.041015625,0.0390625,+*,+*,True,,0.013671875,0.041015625,0.007814534969073162
AP,BA,0.0,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.004998038439617503,-0.014880716585163767,0.0252177320048851,23.0,0.6953125,0.6484375,0.1636363636363637,1,10000,True,0.6953125,0.6484375,n.s.,n.s.,True,,0.6953125,0.6953125,0.004998038439617503
AP,BA,0.1,SCE,ELR,"0,1,2,3,4,5,6,7,8,9",True,10,0.09916919855185632,0.08591230168212743,0.11298624681996874,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.09916919855185632
AP,BA,0.2,SCE,ELR,"0,1,2,3,4,5,6,7,8,9",True,10,0.05787868914304922,0.033989104719004605,0.07779249636813233,1.0,0.00390625,0.00390625,0.9636363636363636,1,10000,True,0.015625,0.015625,+*,+*,True,,0.00390625,0.015625,0.05787868914304922
