protocol,metric,tau,rank,method,mean,lo,hi,n,gap_to_next
S,MacroAUC,0.1,4,AsyCo,0.8272787699040635,0.8125580779354202,0.8397138028419191,10,
S,MacroAUC,0.2,1,SCE,0.8696841627743341,0.859794307752979,0.8775209190010687,10,0.04233967400254479
S,MacroAUC,0.2,2,baseline,0.8273444887717893,0.815093220765419,0.8390696265229112,10,0.0026321546120463557
S,MacroAUC,0.2,3,ELR,0.824712334159743,0.8119931225506647,0.8367319655617721,10,0.00615653465644217
S,MacroAUC,0.2,4,AsyCo,0.8185557995033008,0.7966800089466156,0.8397847219438795,10,
S,MacroAUC,0.3,1,SCE,0.8413416357175907,0.826551605690186,0.8539139370422836,10,0.019377462408414647
S,MacroAUC,0.3,2,baseline,0.821964173309176,0.8106309661804302,0.8314737192057545,10,0.014114112165154125
S,MacroAUC,0.3,3,AsyCo,0.8078500611440219,0.7912805135300519,0.8248780026555044,10,0.00021791211630939333
S,MacroAUC,0.3,4,ELR,0.8076321490277125,0.796557959987148,0.8173793372398847,10,
S,MacroAUC,0.4,1,SCE,0.8224255153062963,0.814260368566356,0.8307069277659579,10,0.01650365068371651
S,MacroAUC,0.4,2,baseline,0.8059218646225798,0.7993621662666112,0.8129731911596325,10,0.017824796988394565
S,MacroAUC,0.4,3,ELR,0.7880970676341852,0.7774251942758573,0.7984546004849327,10,0.0032606240387754726
S,MacroAUC,0.4,4,AsyCo,0.7848364435954097,0.7697152146750337,0.8053338269153837,10,
S,MacroAUC,0.5,1,SCE,0.805801329329423,0.7951086440244429,0.8157531114724716,10,0.01199694196189871
S,MacroAUC,0.5,2,baseline,0.7938043873675243,0.7850884099627256,0.8026620878480754,10,0.010460970591592678
S,MacroAUC,0.5,3,ELR,0.7833434167759317,0.7703034562275025,0.7971766087266582,10,0.014310234848557202
S,MacroAUC,0.5,4,AsyCo,0.7690331819273745,0.7550297425111632,0.7848236841836129,10,
SP,BA,0.0,1,SCE,0.7535344584785794,0.7366479706718777,0.7712286171055708,10,0.02382004199653276
SP,BA,0.0,2,baseline,0.7297144164820466,0.7036289492432033,0.7549352208566473,10,0.06882524088071107
SP,BA,0.0,3,AsyCo,0.6608891756013355,0.6186551327455176,0.6923796717943752,10,0.0018951700382695558
SP,BA,0.0,4,ELR,0.658994005563066,0.6383869859821779,0.6766873756649829,10,
SP,BA,0.1,1,SCE,0.7195822995954889,0.6941927287154211,0.7432975515415347,10,0.08896082869799782
SP,BA,0.1,2,baseline,0.6306214708974911,0.6043957587428994,0.6572851553956842,10,0.00610279381117973
SP,BA,0.1,3,ELR,0.6245186770863114,0.6040840011279511,0.6449449982132461,10,0.04573265762704526
SP,BA,0.1,4,AsyCo,0.5787860194592661,0.557329610063215,0.601071055099962,10,
SP,BA,0.2,1,SCE,0.6940211501525325,0.6672402927924131,0.7189911393958525,10,0.08473515835154954
SP,BA,0.2,2,ELR,0.609285991800983,0.5821403692768394,0.6374901986142719,10,0.0027277214507338554
SP,BA,0.2,3,baseline,0.6065582703502491,0.5757694334182766,0.6344789507286636,10,0.052461791421077875
SP,BA,0.2,4,AsyCo,0.5540964789291712,0.5198913899358582,0.5839655677420944,10,
SP,BA,0.3,1,SCE,0.6208691017020322,0.5832309812104247,0.6533804821721434,10,0.04278818163476672
SP,BA,0.3,2,ELR,0.5780809200672655,0.5534895855280985,0.599804722359427,10,0.0050586865272878034
SP,BA,0.3,3,baseline,0.5730222335399777,0.5534511980325721,0.5891238984645385,10,0.07084798604237585
SP,BA,0.3,4,AsyCo,0.5021742474976019,0.4753514300949667,0.5259374159913867,10,
SP,BA,0.4,1,SCE,0.6101781717967447,0.5898288343405572,0.6316893858179482,10,0.06309433321356794
SP,BA,0.4,2,AsyCo,0.5470838385831768,0.5259150143118826,0.5660038277874082,10,0.002705112508508023
SP,BA,0.4,3,baseline,0.5443787260746688,0.5135523833177358,0.5702697067925657,10,0.00913983947702901
SP,BA,0.4,4,ELR,0.5352388865976397,0.5118103853758768,0.5591756624228348,10,
SP,BA,0.5,1,SCE,0.5467209130064679,0.5259283412928603,0.569071665451076,10,0.03201737307943897
SP,BA,0.5,2,ELR,0.5147035399270289,0.4833845715193941,0.5487789527993477,10,0.0044137704060921434
SP,BA,0.5,3,baseline,0.5102897695209367,0.495050612296724,0.526752844769968,10,0.012127449598015927
SP,BA,0.5,4,AsyCo,0.4981623199229208,0.47041358222589696,0.5286640478577829,10,
SP,MacroF1,0.0,1,SCE,0.7167230238807977,0.6971181682762556,0.7336340103060534,10,0.16811956896661862
SP,MacroF1,0.0,2,baseline,0.5486034549141791,0.5205320552311028,0.5770471338626612,10,0.11382926597203152
SP,MacroF1,0.0,3,AsyCo,0.43477418894214753,0.39986508648127617,0.4652983344661914,10,0.0042589169192279175
SP,MacroF1,0.0,4,ELR,0.4305152720229196,0.41617318362751393,0.44351816221438006,10,
SP,MacroF1,0.1,1,SCE,0.5895554274157384,0.5642423123634815,0.612996587411548,10,0.30262521361894196
SP,MacroF1,0.1,2,baseline,0.28693021379679645,0.27227722193454695,0.30213871094322464,10,0.012138822539407623
SP,MacroF1,0.1,3,ELR,0.27479139125738883,0.2612335230053004,0.28786044054674254,10,0.019228078296375628
SP,MacroF1,0.1,4,AsyCo,0.2555633129610132,0.23587503280989944,0.2751968710949794,10,
SP,MacroF1,0.2,1,SCE,0.5162181532234653,0.49750986419584725,0.5344989361573271,10,0.24803628871095673
SP,MacroF1,0.2,2,baseline,0.2681818645125086,0.25539818893612826,0.27934051618975425,10,0.01203428698553699
SP,MacroF1,0.2,3,ELR,0.2561475775269716,0.2493724983752988,0.2641790969931958,10,0.031894534406794656
SP,MacroF1,0.2,4,AsyCo,0.22425304312017694,0.20731615283836022,0.2368432234575411,10,
SP,MacroF1,0.3,1,SCE,0.43385436836520147,0.4082481799260629,0.4562334237943935,10,0.19316268692039396
SP,MacroF1,0.3,2,baseline,0.24069168144480751,0.22960005414298135,0.25108579857600827,10,0.009566859262797767
SP,MacroF1,0.3,3,ELR,0.23112482218200975,0.21718283873441685,0.24349215034841826,10,0.04010852018871963
SP,MacroF1,0.3,4,AsyCo,0.19101630199329012,0.18266149606324794,0.1995288215054971,10,
SP,MacroF1,0.4,1,SCE,0.38049087541529325,0.36724841571021066,0.39452232833209216,10,0.16190362519306298
SP,MacroF1,0.4,2,AsyCo,0.21858725022223027,0.19602631487528038,0.2405575554810136,10,0.0008766375985937713
SP,MacroF1,0.4,3,baseline,0.2177106126236365,0.20580010442678406,0.22706113372385175,10,0.021408017410193436
SP,MacroF1,0.4,4,ELR,0.19630259521344307,0.18421987273597457,0.20739587558531966,10,
SP,MacroF1,0.5,1,SCE,0.3245809076047567,0.3153233956587974,0.33500157213169496,10,0.11341464469389684
SP,MacroF1,0.5,2,baseline,0.21116626291085988,0.2015197711790697,0.2202737097387537,10,0.022756526454225462
SP,MacroF1,0.5,3,ELR,0.18840973645663442,0.17751169215032375,0.1982110969589144,10,0.010425509184037035
