protocol,method,tau,epoch,n,nta,nta_lo,nta_hi,lnmr,lnmr_lo,lnmr_hi
A,SCE,0.2,120,10,0.32750049453949404,0.3111841823529233,0.344154770757277,0.37203813970799565,0.3589375188774643,0.3866085825871437
A,SCE,0.2,149,10,0.3225831870960119,0.30557451886763737,0.3401230825640763,0.38674111382143456,0.37730648753778373,0.3978768220078317
A,SCE,0.3,0,10,0.06752491302472916,0.05116842897150152,0.08672327767270928,0.16184749322783015,0.13365341013989165,0.19392288944904898
A,SCE,0.3,30,10,0.10650001852038102,0.09147911621272717,0.12228574698996385,0.2593135481585661,0.2401517311934642,0.2787918114553824
A,SCE,0.3,60,10,0.14713117880993914,0.12277750143539953,0.17248046543633133,0.30149961267163367,0.2713367240282331,0.33591424869070413
A,SCE,0.3,90,10,0.21535921134340147,0.18003458185779805,0.2502170007996816,0.3246564268438489,0.3067668907143568,0.34521746509982765
A,SCE,0.3,120,10,0.23748048725796106,0.2090289126466037,0.2635159831719413,0.38122398261232465,0.3586531271324612,0.40612393008084957
A,SCE,0.3,149,10,0.23922900152074794,0.2146913518782173,0.2636449083192785,0.39717019587444663,0.37879267198705086,0.41883575154998154
A,SCE,0.4,0,10,0.050741642668658535,0.03937054155990467,0.06167052633185907,0.13345911180527228,0.10251367613018221,0.17950760806970686
A,SCE,0.4,30,10,0.08618280057544798,0.08036058122806557,0.0926943169486597,0.24837510432196797,0.22190926303979844,0.27386733456949675
A,SCE,0.4,60,10,0.10996338608385267,0.10542484860736202,0.11458685275874725,0.3053494103848807,0.2828971822561623,0.3252774340119128
A,SCE,0.4,90,10,0.12949483959320232,0.12072022323106929,0.13973379862840582,0.3504585164714504,0.32737019293371,0.37534962255915555
A,SCE,0.4,120,10,0.12450830311690078,0.11763402287715605,0.131879812810613,0.40647504017158853,0.3921090407304585,0.4215444138211625
A,SCE,0.4,149,10,0.12449315521482365,0.11930093921334226,0.13103768210074687,0.4254324954099794,0.41263034330463677,0.4386097695097374
A,SCE,0.5,0,10,0.05823823885180189,0.04116372228855403,0.0797500571068756,0.13275723301815906,0.09862098652641185,0.17491932550862424
A,SCE,0.5,30,10,0.09094318912061773,0.08241151003100518,0.10217599345091434,0.252770750483143,0.22936529523112728,0.2773792399602206
A,SCE,0.5,60,10,0.09945481090803224,0.09408298846226497,0.10415910041460832,0.283777180789404,0.26791584083169684,0.2982473188480308
A,SCE,0.5,90,10,0.10053215821450992,0.09676031328478782,0.10458117581033566,0.33498057977676965,0.3161467608737338,0.35303999082882226
A,SCE,0.5,120,10,0.10616414326083834,0.10169808833683613,0.11144826202733511,0.3907807241655533,0.37426268828493725,0.4083582299110839
