protocol,method,tau,fold,epoch,nta,lnmr
A,AsyCo,0.5,0,149,0.06135338345864662,0.1849624060150376
A,AsyCo,0.5,1,0,0.022170361726954493,0.09947491248541424
A,AsyCo,0.5,1,30,0.07905484247374563,0.17007001166861144
A,AsyCo,0.5,1,60,0.07701283547257877,0.18319719953325556
A,AsyCo,0.5,1,90,0.07030338389731622,0.1855309218203034
A,AsyCo,0.5,1,120,0.088098016336056,0.2001166861143524
A,AsyCo,0.5,1,149,0.08518086347724621,0.19894982497082847
A,AsyCo,0.5,2,0,0.03991596638655462,0.09633853541416566
A,AsyCo,0.5,2,30,0.15036014405762305,0.18487394957983194
A,AsyCo,0.5,2,60,0.08403361344537816,0.20888355342136855
A,AsyCo,0.5,2,90,0.07743097238895558,0.18907563025210083
A,AsyCo,0.5,2,120,0.07262905162064826,0.20078031212484995
A,AsyCo,0.5,2,149,0.07773109243697479,0.20798319327731093
A,AsyCo,0.5,3,0,0.03626634958382877,0.14982164090368608
A,AsyCo,0.5,3,30,0.08620689655172414,0.2143281807372176
A,AsyCo,0.5,3,60,0.07223543400713436,0.20957193816884662
A,AsyCo,0.5,3,90,0.07639714625445898,0.23038049940546967
A,AsyCo,0.5,3,120,0.06956004756242569,0.2205707491082045
A,AsyCo,0.5,3,149,0.07431629013079667,0.2235434007134364
A,AsyCo,0.5,4,0,0.035124587211047734,0.10417292104473132
A,AsyCo,0.5,4,30,0.06814770339237466,0.15550885619933955
A,AsyCo,0.5,4,60,0.06844791353947763,0.20084058841188832
A,AsyCo,0.5,4,90,0.06724707295106575,0.1903332332632843
A,AsyCo,0.5,4,120,0.1020714500150105,0.21885319723806665
A,AsyCo,0.5,4,149,0.08045631942359652,0.1999399579705794
A,AsyCo,0.5,5,0,0.024035608308605343,0.1142433234421365
A,AsyCo,0.5,5,30,0.07893175074183977,0.18605341246290802
A,AsyCo,0.5,5,60,0.08100890207715133,0.21038575667655787
A,AsyCo,0.5,5,90,0.06824925816023739,0.1744807121661721
A,AsyCo,0.5,5,120,0.08071216617210683,0.22937685459940652
A,AsyCo,0.5,5,149,0.07804154302670623,0.18724035608308606
A,AsyCo,0.5,6,0,0.01537551744529864,0.07806031933767002
A,AsyCo,0.5,6,30,0.06948551153163808,0.17770549970431698
A,AsyCo,0.5,6,60,0.062389118864577174,0.1848018923713779
A,AsyCo,0.5,6,90,0.06948551153163808,0.22117090479006504
A,AsyCo,0.5,6,120,0.06978119455943228,0.21703134240094618
A,AsyCo,0.5,6,149,0.06445890005913661,0.2043169722057954
A,AsyCo,0.5,7,0,0.030899727355346865,0.08300514995455922
A,AsyCo,0.5,7,30,0.0793698879127537,0.159345652832475
A,AsyCo,0.5,7,60,0.08300514995455922,0.20842169039684943
A,AsyCo,0.5,7,90,0.09148742805210543,0.21690396849439564
A,AsyCo,0.5,7,120,0.08270221145107544,0.18721599515298395
A,AsyCo,0.5,7,149,0.09300212056952438,0.20054528930627083
A,AsyCo,0.5,8,0,0.015830346475507767,0.07885304659498207
A,AsyCo,0.5,8,30,0.06571087216248507,0.16606929510155316
A,AsyCo,0.5,8,60,0.07885304659498207,0.21953405017921146
A,AsyCo,0.5,8,90,0.07108721624850657,0.19414575866188769
A,AsyCo,0.5,8,120,0.07467144563918758,0.22252090800477897
A,AsyCo,0.5,8,149,0.07019115890083633,0.19683393070489844
A,AsyCo,0.5,9,0,0.02845163222521713,0.10002994908655286
A,AsyCo,0.5,9,30,0.06558849955076371,0.17160826594788858
A,AsyCo,0.5,9,60,0.06768493560946391,0.1916741539383049
A,AsyCo,0.5,9,90,0.07307577118897873,0.1958670260557053
A,AsyCo,0.5,9,120,0.07038035339922133,0.23330338424678046
A,AsyCo,0.5,9,149,0.0664869721473495,0.20964360587002095
A,ELR,0.1,0,0,0.016355140186915886,0.06775700934579439
A,ELR,0.1,0,30,0.06074766355140187,0.16121495327102803
A,ELR,0.1,0,60,0.06074766355140187,0.19742990654205608
A,ELR,0.1,0,90,0.09813084112149532,0.29906542056074764
A,ELR,0.1,0,120,0.102803738317757,0.35630841121495327
A,ELR,0.1,0,149,0.10514018691588785,0.35397196261682246
A,ELR,0.1,1,0,0.012910798122065728,0.05985915492957746
A,ELR,0.1,1,30,0.06455399061032864,0.13615023474178403
A,ELR,0.1,1,60,0.0903755868544601,0.19953051643192488
A,ELR,0.1,1,90,0.09624413145539906,0.2981220657276995
A,ELR,0.1,1,120,0.09741784037558686,0.34507042253521125
A,ELR,0.1,1,149,0.10211267605633803,0.4084507042253521
A,ELR,0.1,2,0,0.011534025374855825,0.06920415224913495
A,ELR,0.1,2,30,0.06459054209919261,0.14071510957324107
A,ELR,0.1,2,60,0.0726643598615917,0.21568627450980393
A,ELR,0.1,2,90,0.104959630911188,0.3275663206459054
A,ELR,0.1,2,120,0.10034602076124567,0.40945790080738176
A,ELR,0.1,2,149,0.11534025374855825,0.4555940023068051
A,ELR,0.1,3,0,0.030696576151121605,0.0885478158205431
A,ELR,0.1,3,30,0.07910271546635184,0.16292798110979928
A,ELR,0.1,3,60,0.09799291617473435,0.2975206611570248
A,ELR,0.1,3,90,0.1180637544273908,0.32113341204250295
A,ELR,0.1,3,120,0.11688311688311688,0.4179456906729634
A,ELR,0.1,3,149,0.1204250295159386,0.4297520661157025
A,ELR,0.1,4,0,0.03170731707317073,0.13170731707317074
A,ELR,0.1,4,30,0.06463414634146342,0.1524390243902439
A,ELR,0.1,4,60,0.08414634146341464,0.2524390243902439
A,ELR,0.1,4,90,0.09634146341463415,0.30365853658536585
A,ELR,0.1,4,120,0.10609756097560975,0.3475609756097561
A,ELR,0.1,4,149,0.11219512195121951,0.39390243902439026
A,ELR,0.1,5,0,0.0332541567695962,0.09144893111638955
A,ELR,0.1,5,30,0.06294536817102138,0.16270783847980996
A,ELR,0.1,5,60,0.08669833729216152,0.2814726840855107
A,ELR,0.1,5,90,0.10570071258907364,0.33847980997624705
A,ELR,0.1,5,120,0.10570071258907364,0.40617577197149646
A,ELR,0.1,5,149,0.10332541567695962,0.44418052256532065
A,ELR,0.1,6,0,0.026376146788990827,0.08027522935779817
A,ELR,0.1,6,30,0.0481651376146789,0.1651376146788991
A,ELR,0.1,6,60,0.06307339449541284,0.19036697247706422
A,ELR,0.1,6,90,0.08027522935779817,0.23853211009174313
A,ELR,0.1,6,120,0.11697247706422019,0.3577981651376147
A,ELR,0.1,6,149,0.10435779816513761,0.37155963302752293
A,ELR,0.1,7,0,0.031818181818181815,0.0659090909090909
A,ELR,0.1,7,30,0.0659090909090909,0.15113636363636362
A,ELR,0.1,7,60,0.06136363636363636,0.1715909090909091
A,ELR,0.1,7,90,0.09090909090909091,0.29545454545454547
A,ELR,0.1,7,120,0.10113636363636364,0.38181818181818183
A,ELR,0.1,7,149,0.09431818181818181,0.4238636363636364
A,ELR,0.1,8,0,0.019144144144144143,0.061936936936936936
A,ELR,0.1,8,30,0.04954954954954955,0.12162162162162163
A,ELR,0.1,8,60,0.07432432432432433,0.22409909909909909
A,ELR,0.1,8,90,0.09121621621621621,0.2668918918918919
A,ELR,0.1,8,120,0.11148648648648649,0.3795045045045045
A,ELR,0.1,8,149,0.10810810810810811,0.39864864864864863
A,ELR,0.1,9,0,0.03617269544924154,0.09451575262543757
A,ELR,0.1,9,30,0.07817969661610269,0.19136522753792298
A,ELR,0.1,9,60,0.07584597432905485,0.15519253208868145
A,ELR,0.1,9,90,0.10151691948658109,0.30221703617269546
A,ELR,0.1,9,120,0.09918319719953325,0.3348891481913652
A,ELR,0.1,9,149,0.10268378063010501,0.3897316219369895
A,ELR,0.2,0,0,0.014357501794687724,0.07106963388370424
A,ELR,0.2,0,30,0.043072505384063174,0.11557788944723618
A,ELR,0.2,0,60,0.07537688442211055,0.2031586503948313
A,ELR,0.2,0,90,0.09619526202440776,0.2555635319454415
A,ELR,0.2,0,120,0.09834888729361091,0.3151471643933956
A,ELR,0.2,0,149,0.10337401292175162,0.3237616654702082
A,ELR,0.2,1,0,0.038129496402877695,0.08633093525179857
