protocol,method,tau,metric,first_epoch,first_value,peak_epoch,peak_value,final_epoch,final_value
AP,baseline,0.5,nta,0,0.05419381566702373,149,0.10015132236624233,149,0.10015132236624233
AP,baseline,0.5,lnmr,0,0.12745865588138633,149,0.5268562850402962,149,0.5268562850402962
S,AsyCo,0.1,nta,0,0.027357997945290945,120,0.11713482686604512,149,0.10417683062176575
S,AsyCo,0.1,lnmr,0,0.08297835778048705,120,0.24839563133990405,149,0.2390873201357227
S,AsyCo,0.2,nta,0,0.02999075659716169,120,0.10609940544187238,149,0.10307708834876605
S,AsyCo,0.2,lnmr,0,0.10945615249478369,120,0.24363853472994754,149,0.2398171102583994
S,AsyCo,0.3,nta,0,0.025316980611051317,120,0.09754169414665206,149,0.09289647436769678
S,AsyCo,0.3,lnmr,0,0.08886600914718869,120,0.23317838685889716,149,0.22771056231582842
S,AsyCo,0.4,nta,0,0.035775659384272185,149,0.10220429289283246,149,0.10220429289283246
S,AsyCo,0.4,lnmr,0,0.1053421412939487,90,0.22575900276219837,149,0.22333792187138174
S,AsyCo,0.5,nta,0,0.030653659048240023,120,0.08648692829808216,149,0.08536207643741511
S,AsyCo,0.5,lnmr,0,0.09453985987674078,120,0.22316161449078042,149,0.20946240513935588
S,ELR,0.1,nta,0,0.024049923459708966,149,0.11045802954994162,149,0.11045802954994162
S,ELR,0.1,lnmr,0,0.09096113583953502,149,0.4409838483109262,149,0.4409838483109262
S,ELR,0.2,nta,0,0.026272252608353263,149,0.10344167150469856,149,0.10344167150469856
S,ELR,0.2,lnmr,0,0.08727530429063762,149,0.4150091619890534,149,0.4150091619890534
S,ELR,0.3,nta,0,0.032486519826124424,149,0.09006791257736706,149,0.09006791257736706
S,ELR,0.3,lnmr,0,0.10901203984756061,149,0.36266372426044996,149,0.36266372426044996
S,ELR,0.4,nta,0,0.03397696799157391,149,0.0790484446130085,149,0.0790484446130085
S,ELR,0.4,lnmr,0,0.10247709457271481,149,0.33151931366284215,149,0.33151931366284215
S,ELR,0.5,nta,0,0.02965962728489911,149,0.07057261261251813,149,0.07057261261251813
S,ELR,0.5,lnmr,0,0.08222143345029533,149,0.29483077966814686,149,0.29483077966814686
S,SCE,0.1,nta,0,0.08952165686154916,149,0.4350627580366277,149,0.4350627580366277
S,SCE,0.1,lnmr,0,0.2891376232587811,149,0.42889093204708617,149,0.42889093204708617
S,SCE,0.2,nta,0,0.06841331480232982,149,0.3593607512470694,149,0.3593607512470694
S,SCE,0.2,lnmr,0,0.1922958455567463,149,0.45524295903567147,149,0.45524295903567147
S,SCE,0.3,nta,0,0.08354323364166469,149,0.29586001074683665,149,0.29586001074683665
S,SCE,0.3,lnmr,0,0.23693289133656042,149,0.45261156071993175,149,0.45261156071993175
S,SCE,0.4,nta,0,0.0892119967355525,149,0.1977569229894577,149,0.1977569229894577
S,SCE,0.4,lnmr,0,0.1888208497519928,149,0.4741455492346927,149,0.4741455492346927
S,SCE,0.5,nta,0,0.06273779762987715,30,0.1492242934714174,149,0.14278603268346854
S,SCE,0.5,lnmr,0,0.1989486901260263,149,0.47545032913252233,149,0.47545032913252233
S,baseline,0.1,nta,0,0.021828282028344415,120,0.11107033645146827,149,0.10998283521416692
S,baseline,0.1,lnmr,0,0.08970536740331615,149,0.4659592062174232,149,0.4659592062174232
S,baseline,0.2,nta,0,0.026546047387356404,149,0.10410634931903413,149,0.10410634931903413
S,baseline,0.2,lnmr,0,0.08572935230681976,149,0.43470098527022805,149,0.43470098527022805
S,baseline,0.3,nta,0,0.03246292920939584,149,0.09433460359810494,149,0.09433460359810494
S,baseline,0.3,lnmr,0,0.10075521554878113,149,0.38806938529616536,149,0.38806938529616536
S,baseline,0.4,nta,0,0.03369368777295649,149,0.08531196502503682,149,0.08531196502503682
S,baseline,0.4,lnmr,0,0.10358127660627114,149,0.35907546565688914,149,0.35907546565688914
S,baseline,0.5,nta,0,0.030036021933252915,120,0.07688357029931484,149,0.07666268877638976
S,baseline,0.5,lnmr,0,0.08742302816291288,149,0.31753836465441704,149,0.31753836465441704
SP,AsyCo,0.1,nta,0,0.059847184996823254,90,0.18771509013461798,149,0.1787204252813312
SP,AsyCo,0.1,lnmr,0,0.1238050519423427,90,0.3387723135970145,149,0.32318337795276464
SP,AsyCo,0.2,nta,0,0.05757492734588847,149,0.14618470562554595,149,0.14618470562554595
SP,AsyCo,0.2,lnmr,0,0.1410342653245929,120,0.3648853233743237,149,0.34535037120789674
SP,AsyCo,0.3,nta,0,0.06419611076717538,90,0.12376255524917938,149,0.11502799721185235
SP,AsyCo,0.3,lnmr,0,0.13427053880750767,120,0.2991010420720568,149,0.26955634410670987
SP,AsyCo,0.4,nta,0,0.052658466018936624,120,0.15819111051671267,149,0.15270694609382543
SP,AsyCo,0.4,lnmr,0,0.12702733080804654,149,0.3132645620057078,149,0.3132645620057078
SP,AsyCo,0.5,nta,0,0.04556520675481525,120,0.1234933718062409,149,0.1227359989348672
SP,AsyCo,0.5,lnmr,0,0.1148890711088942,149,0.31680330346580043,149,0.31680330346580043
SP,ELR,0.1,nta,0,0.05132026042505168,120,0.11715123889838568,149,0.11526598373253698
SP,ELR,0.1,lnmr,0,0.14795209904678752,149,0.6658815560668602,149,0.6658815560668602
SP,ELR,0.2,nta,0,0.070954337094602,120,0.1181434659044502,149,0.11725978088269765
SP,ELR,0.2,lnmr,0,0.14708473433561192,149,0.6837558422357656,149,0.6837558422357656
SP,ELR,0.3,nta,0,0.05957112894050037,120,0.10727346819705268,149,0.10626245165987502
SP,ELR,0.3,lnmr,0,0.13213771713632388,149,0.6532924940559091,149,0.6532924940559091
SP,ELR,0.4,nta,0,0.05390559980079247,149,0.10072798530565082,149,0.10072798530565082
