method,tau,epoch,nta,nta_lo,nta_hi,lnmr,lnmr_lo,lnmr_hi,n
baseline,0.3,149,0.1092809262051313,0.10665498909173149,0.1119379299536363,0.6198144231055635,0.6126718707567488,0.6272439158297507,10
baseline,0.4,0,0.05062464208719453,0.03969725292968217,0.06252452569935815,0.140090522367896,0.10470789593338073,0.18479073682031522,10
baseline,0.4,30,0.08461390364117316,0.07645775785318358,0.09450304068657579,0.25494909882343364,0.21982186361451328,0.29526979827511507,10
baseline,0.4,60,0.08968089881902687,0.08635431065133217,0.09276098834734389,0.327803435439871,0.3143843927324971,0.3433435306098671,10
baseline,0.4,90,0.09484486387825632,0.09078124635726645,0.09851090322830952,0.4575805520681442,0.43527875782448355,0.4756770744332719,10
baseline,0.4,120,0.10129755693890737,0.09707171778564422,0.10560657237702986,0.5418881541997551,0.5312809951399343,0.552825108939895,10
baseline,0.4,149,0.1024024040084289,0.09965054175664076,0.10531806043467035,0.5703172762678367,0.5574612781379008,0.5823347782837659,10
baseline,0.5,0,0.05419381566702373,0.0492104221418748,0.05875211873442974,0.12745865588138633,0.11845535214434116,0.14090582887691386,10
baseline,0.5,30,0.07630399089364646,0.06777396378589012,0.08306906468171188,0.21905781537169614,0.1943169513609353,0.24326674683975325,10
baseline,0.5,60,0.08274006359356287,0.07816205547408281,0.08809096761794723,0.31668381792943245,0.2983307609914637,0.33619975457827783,10
baseline,0.5,90,0.09721673189691268,0.08866375688474616,0.10923156772976056,0.40578292088419704,0.3862462165705053,0.42382844430330563,10
baseline,0.5,120,0.09686012318431787,0.09310784577015364,0.10086819667207857,0.5012870634012422,0.48542147286316456,0.5182169362943942,10
baseline,0.5,149,0.10015132236624233,0.09730531580075687,0.10347975883214756,0.5268562850402962,0.5172426889137004,0.5366182604585538,10
elr,0.1,0,0.057995207072374676,0.04691452862860735,0.0699898084705324,0.14419085094801037,0.11186868451602372,0.18139073703362882,10
elr,0.1,30,0.1063532214809995,0.09997986139485035,0.11288812149177366,0.3169078414935952,0.28081681638522155,0.3494599332868244,10
elr,0.1,60,0.11815166975529737,0.11459159183248106,0.1220028463781786,0.41910197236032787,0.3857035264653403,0.4504975616883662,10
elr,0.1,90,0.12272646526404632,0.1184515528637355,0.12732634136525445,0.5586958824084312,0.5381808192547909,0.5787357438595448,10
elr,0.1,120,0.11865982561900734,0.11464875993006476,0.12259516323069562,0.6435037372123315,0.6207888663074916,0.665776692721812,10
elr,0.1,149,0.11894925414798499,0.11407157690992732,0.12394621750994153,0.6676709434965928,0.6388505967118908,0.6916752098950771,10
elr,0.2,0,0.05087093945243283,0.04070237972488443,0.0619633104520215,0.12017508921444524,0.10653576967191938,0.1352350549938987,10
elr,0.2,30,0.10343076080022258,0.09857205192941741,0.10851084225322583,0.3051800579286839,0.2714238657537913,0.3380835490653745,10
elr,0.2,60,0.10908014454734363,0.10199054790863245,0.11784067401003433,0.4093464005250967,0.3835992622134882,0.43384986145439297,10
elr,0.2,90,0.11554471524962769,0.10963415345399738,0.12107765808047742,0.5254795723143738,0.5069202721270671,0.5433484164202181,10
elr,0.2,120,0.11999222426988362,0.11461961891277858,0.12482748771694824,0.6169070108742856,0.6010616990844411,0.6319165370846237,10
elr,0.2,149,0.11960716686985214,0.11581070101858917,0.12322431947643651,0.6470289372013648,0.6322896234613062,0.6608910881909777,10
elr,0.3,0,0.059536757217490556,0.054407855501538024,0.06605735691732809,0.13025239494384996,0.11610863060576271,0.1448592287116365,10
elr,0.3,30,0.07697325948632495,0.0666983036593661,0.08835415159232374,0.24619132639521069,0.22449720718135477,0.27182411187909433,10
elr,0.3,60,0.09902434742150393,0.09484844990488094,0.10313575812171209,0.3621065729168678,0.34251779321769055,0.3838679208325385,10
elr,0.3,90,0.10070019614438186,0.0982358078132423,0.10315990586283831,0.4867987039547487,0.462103728767702,0.5124947547458405,10
elr,0.3,120,0.10634443622075865,0.10485686361684135,0.10793933580185316,0.5683451421402109,0.5545346901991244,0.5825951300715887,10
elr,0.3,149,0.10819341402247126,0.10625740880396864,0.11038137921929139,0.5999963898671883,0.5922594794633876,0.6074590472469029,10
elr,0.4,0,0.04349609515047998,0.03515167205819257,0.052206773217486895,0.11142034652974256,0.09786483701976115,0.1253878109295358,10
elr,0.4,30,0.0874405923194554,0.07789950263585185,0.09878486878042404,0.2535452425015273,0.22398391570049606,0.2883576171708387,10
elr,0.4,60,0.0882008303133304,0.08352128554972801,0.09208417623742714,0.31383080863005686,0.29962829666271423,0.3259556858486588,10
elr,0.4,90,0.08878061535023768,0.08607411639491917,0.09136716389400626,0.4224695524336318,0.4043588763678322,0.4359628675484262,10
elr,0.4,120,0.09574637551337065,0.09338911151365625,0.09837819257621008,0.5231395177001418,0.5047999335018062,0.5402350900675545,10
elr,0.4,149,0.09878316684490032,0.09538423511687978,0.10286053978388064,0.5439300024565747,0.5265392974320454,0.5572476599810444,10
elr,0.5,0,0.05054666204108571,0.045580658555233536,0.05507578991208446,0.12589641874805244,0.11570854241806967,0.13589119217644624,10
elr,0.5,30,0.07212546795078138,0.06309972299366227,0.08349209072052072,0.20004919630636597,0.1795329894612431,0.22288843594256302,10
elr,0.5,60,0.07577699754031839,0.0702710943617093,0.08103104510763602,0.29153627677290883,0.2631893520742739,0.32063778729947195,10
