protocol,method,tau,true_class,pred_class,count,rate
S,baseline,0.2,df,df,51.0,0.6986301369863014
S,baseline,0.3,nv,nv,0.0,0.0
S,baseline,0.3,nv,bkl,324.0,0.059966685174902834
S,baseline,0.3,nv,mel,1019.0,0.18859892652230242
S,baseline,0.3,nv,bcc,460.0,0.08513788635942994
S,baseline,0.3,nv,akiec,672.0,0.1243753470294281
S,baseline,0.3,nv,vasc,1725.0,0.3192670738478623
S,baseline,0.3,nv,df,1203.0,0.2226540810660744
S,baseline,0.3,bkl,nv,0.0,0.0
S,baseline,0.3,bkl,bkl,199.0,0.2737276478679505
S,baseline,0.3,bkl,mel,42.0,0.0577716643741403
S,baseline,0.3,bkl,bcc,84.0,0.1155433287482806
S,baseline,0.3,bkl,akiec,282.0,0.3878954607977992
S,baseline,0.3,bkl,vasc,33.0,0.0453920220082531
S,baseline,0.3,bkl,df,87.0,0.11966987620357634
S,baseline,0.3,mel,nv,0.0,0.0
S,baseline,0.3,mel,bkl,100.0,0.16286644951140064
S,baseline,0.3,mel,mel,181.0,0.2947882736156352
S,baseline,0.3,mel,bcc,53.0,0.08631921824104234
S,baseline,0.3,mel,akiec,205.0,0.3338762214983713
S,baseline,0.3,mel,vasc,23.0,0.03745928338762215
S,baseline,0.3,mel,df,52.0,0.08469055374592833
S,baseline,0.3,bcc,nv,0.0,0.0
S,baseline,0.3,bcc,bkl,2.0,0.0061162079510703364
S,baseline,0.3,bcc,mel,1.0,0.0030581039755351682
S,baseline,0.3,bcc,bcc,229.0,0.7003058103975535
S,baseline,0.3,bcc,akiec,60.0,0.1834862385321101
S,baseline,0.3,bcc,vasc,12.0,0.03669724770642202
S,baseline,0.3,bcc,df,23.0,0.07033639143730887
S,baseline,0.3,akiec,nv,0.0,0.0
S,baseline,0.3,akiec,bkl,5.0,0.021929824561403508
S,baseline,0.3,akiec,mel,1.0,0.0043859649122807015
S,baseline,0.3,akiec,bcc,42.0,0.18421052631578946
S,baseline,0.3,akiec,akiec,170.0,0.7456140350877193
S,baseline,0.3,akiec,vasc,0.0,0.0
S,baseline,0.3,akiec,df,10.0,0.043859649122807015
S,baseline,0.3,vasc,nv,0.0,0.0
S,baseline,0.3,vasc,bkl,0.0,0.0
S,baseline,0.3,vasc,mel,1.0,0.01020408163265306
S,baseline,0.3,vasc,bcc,8.0,0.08163265306122448
S,baseline,0.3,vasc,akiec,2.0,0.02040816326530612
S,baseline,0.3,vasc,vasc,80.0,0.8163265306122449
S,baseline,0.3,vasc,df,7.0,0.07142857142857142
S,baseline,0.3,df,nv,0.0,0.0
S,baseline,0.3,df,bkl,0.0,0.0
S,baseline,0.3,df,mel,0.0,0.0
S,baseline,0.3,df,bcc,10.0,0.136986301369863
S,baseline,0.3,df,akiec,7.0,0.0958904109589041
S,baseline,0.3,df,vasc,3.0,0.0410958904109589
S,baseline,0.3,df,df,53.0,0.726027397260274
S,baseline,0.4,nv,nv,1.0,0.00018508236165093466
S,baseline,0.4,nv,bkl,308.0,0.057005367388487875
S,baseline,0.4,nv,mel,811.0,0.15010179529890802
S,baseline,0.4,nv,bcc,542.0,0.10031464001480658
S,baseline,0.4,nv,akiec,733.0,0.1356653710901351
S,baseline,0.4,nv,vasc,1721.0,0.31852674440125855
S,baseline,0.4,nv,df,1287.0,0.23820099944475293
S,baseline,0.4,bkl,nv,0.0,0.0
S,baseline,0.4,bkl,bkl,147.0,0.20220082530949107
S,baseline,0.4,bkl,mel,39.0,0.05364511691884457
S,baseline,0.4,bkl,bcc,105.0,0.14442916093535077
S,baseline,0.4,bkl,akiec,298.0,0.40990371389270974
S,baseline,0.4,bkl,vasc,30.0,0.04126547455295736
S,baseline,0.4,bkl,df,108.0,0.1485557083906465
S,baseline,0.4,mel,nv,0.0,0.0
S,baseline,0.4,mel,bkl,114.0,0.18566775244299674
S,baseline,0.4,mel,mel,126.0,0.20521172638436483
S,baseline,0.4,mel,bcc,63.0,0.10260586319218241
S,baseline,0.4,mel,akiec,245.0,0.3990228013029316
S,baseline,0.4,mel,vasc,24.0,0.03908794788273615
S,baseline,0.4,mel,df,42.0,0.06840390879478828
S,baseline,0.4,bcc,nv,0.0,0.0
S,baseline,0.4,bcc,bkl,1.0,0.0030581039755351682
S,baseline,0.4,bcc,mel,0.0,0.0
S,baseline,0.4,bcc,bcc,221.0,0.6758409785932722
S,baseline,0.4,bcc,akiec,71.0,0.21712538226299694
S,baseline,0.4,bcc,vasc,19.0,0.0581039755351682
S,baseline,0.4,bcc,df,15.0,0.045871559633027525
S,baseline,0.4,akiec,nv,0.0,0.0
S,baseline,0.4,akiec,bkl,1.0,0.0043859649122807015
S,baseline,0.4,akiec,mel,0.0,0.0
S,baseline,0.4,akiec,bcc,37.0,0.16228070175438597
S,baseline,0.4,akiec,akiec,173.0,0.7587719298245614
S,baseline,0.4,akiec,vasc,1.0,0.0043859649122807015
S,baseline,0.4,akiec,df,16.0,0.07017543859649122
S,baseline,0.4,vasc,nv,0.0,0.0
S,baseline,0.4,vasc,bkl,1.0,0.01020408163265306
S,baseline,0.4,vasc,mel,1.0,0.01020408163265306
S,baseline,0.4,vasc,bcc,8.0,0.08163265306122448
