protocol,diagnostic,method,tau,class_name,value
S,perclass_f1,baseline,0.5,vasc,0.07824218679328479
S,perclass_f1,baseline,0.5,df,0.06031375615435575
S,perclass_f1,SCE,0.5,nv,0.12419360921504193
S,perclass_f1,SCE,0.5,bkl,0.3039269401831598
S,perclass_f1,SCE,0.5,mel,0.16638288083429828
S,perclass_f1,SCE,0.5,bcc,0.35026480825809136
S,perclass_f1,SCE,0.5,akiec,0.264749695238069
S,perclass_f1,SCE,0.5,vasc,0.11696130200620272
S,perclass_f1,SCE,0.5,df,0.07335292576349799
S,perclass_f1,ELR,0.5,nv,0.002209944751381215
S,perclass_f1,ELR,0.5,bkl,0.13481717170818128
S,perclass_f1,ELR,0.5,mel,0.13024931873469162
S,perclass_f1,ELR,0.5,bcc,0.3132628160162241
S,perclass_f1,ELR,0.5,akiec,0.1740339568918941
S,perclass_f1,ELR,0.5,vasc,0.0709593003123939
S,perclass_f1,ELR,0.5,df,0.0632886690913361
S,perclass_f1,AsyCo,0.5,nv,0.011959145712212816
S,perclass_f1,AsyCo,0.5,bkl,0.057181405258288874
S,perclass_f1,AsyCo,0.5,mel,0.1988591413983145
S,perclass_f1,AsyCo,0.5,bcc,0.3057433437133418
S,perclass_f1,AsyCo,0.5,akiec,0.20274057851657662
S,perclass_f1,AsyCo,0.5,vasc,0.05071873938859789
S,perclass_f1,AsyCo,0.5,df,0.04377927800421364
S,perclass_nta,baseline,0.1,nv,0.0004875402641088121
S,perclass_nta,baseline,0.1,bkl,0.2690065761661831
S,perclass_nta,baseline,0.1,mel,0.4416467321045981
S,perclass_nta,baseline,0.1,bcc,0.4271585720225371
S,perclass_nta,baseline,0.1,akiec,0.6140612502980707
S,perclass_nta,baseline,0.1,vasc,0.4615355233002291
S,perclass_nta,baseline,0.1,df,0.5794444444444443
S,perclass_nta,SCE,0.1,nv,0.444102036511237
S,perclass_nta,SCE,0.1,bkl,0.3310365379894633
S,perclass_nta,SCE,0.1,mel,0.4778740123198982
S,perclass_nta,SCE,0.1,bcc,0.4074390195245209
S,perclass_nta,SCE,0.1,akiec,0.4771731436252516
