protocol,method,tau,true_class,pred_class,delta_rate
SP,baseline,0.2,bcc,vasc,0.0
SP,baseline,0.2,bcc,df,0.0
SP,baseline,0.2,akiec,nv,0.0
SP,baseline,0.2,akiec,bkl,0.03947368421052633
SP,baseline,0.2,akiec,mel,-0.03508771929824561
SP,baseline,0.2,akiec,bcc,0.0043859649122807015
SP,baseline,0.2,akiec,akiec,0.0
SP,baseline,0.2,akiec,vasc,-0.0043859649122807015
SP,baseline,0.2,akiec,df,-0.0043859649122807015
SP,baseline,0.2,vasc,nv,0.0
SP,baseline,0.2,vasc,bkl,0.010204081632653062
SP,baseline,0.2,vasc,mel,-0.01020408163265306
SP,baseline,0.2,vasc,bcc,0.010204081632653066
SP,baseline,0.2,vasc,akiec,0.0
SP,baseline,0.2,vasc,vasc,-0.061224489795918324
SP,baseline,0.2,vasc,df,0.05102040816326531
SP,baseline,0.2,df,nv,-0.0136986301369863
SP,baseline,0.2,df,bkl,0.0273972602739726
SP,baseline,0.2,df,mel,0.0136986301369863
SP,baseline,0.2,df,bcc,0.0410958904109589
SP,baseline,0.2,df,akiec,-0.0410958904109589
SP,baseline,0.2,df,vasc,0.0
SP,baseline,0.2,df,df,-0.0273972602739726
SP,SCE,0.2,nv,nv,-0.22691097538404592
SP,SCE,0.2,nv,bkl,0.033129742735517304
SP,SCE,0.2,nv,mel,0.11178974643716454
SP,SCE,0.2,nv,bcc,0.02387562465297057
SP,SCE,0.2,nv,akiec,0.009254118082546734
SP,SCE,0.2,nv,vasc,0.02498611882287618
SP,SCE,0.2,nv,df,0.02387562465297057
SP,SCE,0.2,bkl,nv,-0.02200825309491059
SP,SCE,0.2,bkl,bkl,-0.09903713892709765
SP,SCE,0.2,bkl,mel,0.024759284731774425
SP,SCE,0.2,bkl,bcc,0.04401650618982118
SP,SCE,0.2,bkl,akiec,0.037138927097661624
SP,SCE,0.2,bkl,vasc,0.0068775790921595595
SP,SCE,0.2,bkl,df,0.008253094910591473
SP,SCE,0.2,mel,nv,-0.0781758957654723
SP,SCE,0.2,mel,bkl,0.06677524429967427
SP,SCE,0.2,mel,mel,-0.039087947882736174
SP,SCE,0.2,mel,bcc,0.014657980456026055
SP,SCE,0.2,mel,akiec,0.03094462540716612
SP,SCE,0.2,mel,vasc,0.003257328990228012
SP,SCE,0.2,mel,df,0.0016286644951140072
SP,SCE,0.2,bcc,nv,-0.015290519877675837
SP,SCE,0.2,bcc,bkl,0.027522935779816512
SP,SCE,0.2,bcc,mel,-0.009174311926605505
SP,SCE,0.2,bcc,bcc,-0.030581039755351758
SP,SCE,0.2,bcc,akiec,0.009174311926605505
SP,SCE,0.2,bcc,vasc,0.0030581039755351682
SP,SCE,0.2,bcc,df,0.01529051987767584
SP,SCE,0.2,akiec,nv,-0.008771929824561403
SP,SCE,0.2,akiec,bkl,-0.06578947368421052
SP,SCE,0.2,akiec,mel,-0.0043859649122807015
SP,SCE,0.2,akiec,bcc,0.043859649122807015
SP,SCE,0.2,akiec,akiec,0.021929824561403466
SP,SCE,0.2,akiec,vasc,0.0043859649122807015
SP,SCE,0.2,akiec,df,0.008771929824561403
SP,SCE,0.2,vasc,nv,0.020408163265306124
SP,SCE,0.2,vasc,bkl,0.01020408163265306
SP,SCE,0.2,vasc,mel,-0.030612244897959183
SP,SCE,0.2,vasc,bcc,0.020408163265306124
SP,SCE,0.2,vasc,akiec,0.01020408163265306
SP,SCE,0.2,vasc,vasc,-0.030612244897959107
SP,SCE,0.2,vasc,df,0.0
SP,SCE,0.2,df,nv,-0.0684931506849315
SP,SCE,0.2,df,bkl,0.0547945205479452
SP,SCE,0.2,df,mel,-0.0273972602739726
SP,SCE,0.2,df,bcc,0.0273972602739726
SP,SCE,0.2,df,akiec,0.0136986301369863
SP,SCE,0.2,df,vasc,0.0136986301369863
SP,SCE,0.2,df,df,-0.013698630136986245
SP,ELR,0.2,nv,nv,0.0011104941699056079
SP,ELR,0.2,nv,bkl,0.10808809920414583
SP,ELR,0.2,nv,mel,0.19748287988154734
SP,ELR,0.2,nv,bcc,0.060892096983157507
SP,ELR,0.2,nv,akiec,0.03461040162872478
SP,ELR,0.2,nv,vasc,0.1543586896168795
SP,ELR,0.2,nv,df,-0.5565426614843605
SP,ELR,0.2,bkl,nv,0.0
SP,ELR,0.2,bkl,bkl,0.030261348005502064
SP,ELR,0.2,bkl,mel,-0.09353507565337002
SP,ELR,0.2,bkl,bcc,0.04951856946354882
SP,ELR,0.2,bkl,akiec,0.04264099037138927
SP,ELR,0.2,bkl,vasc,0.0041265474552957355
SP,ELR,0.2,bkl,df,-0.03301237964236589
SP,ELR,0.2,mel,nv,0.0
SP,ELR,0.2,mel,bkl,0.08143322475570033
SP,ELR,0.2,mel,mel,-0.15309446254071668
SP,ELR,0.2,mel,bcc,0.026058631921824102
SP,ELR,0.2,mel,akiec,0.04397394136807817
SP,ELR,0.2,mel,vasc,0.00977198697068404
SP,ELR,0.2,mel,df,-0.008143322475570033
SP,ELR,0.2,bcc,nv,0.0
SP,ELR,0.2,bcc,bkl,0.003058103975535166
SP,ELR,0.2,bcc,mel,-0.027522935779816515
SP,ELR,0.2,bcc,bcc,0.003058103975535187
SP,ELR,0.2,bcc,akiec,0.02140672782874617
SP,ELR,0.2,bcc,vasc,0.0
SP,ELR,0.2,bcc,df,0.0
SP,ELR,0.2,akiec,nv,0.0
SP,ELR,0.2,akiec,bkl,0.039473684210526314
SP,ELR,0.2,akiec,mel,-0.03508771929824561
SP,ELR,0.2,akiec,bcc,0.04385964912280703
SP,ELR,0.2,akiec,akiec,-0.04824561403508776
SP,ELR,0.2,akiec,vasc,-0.0043859649122807015
SP,ELR,0.2,akiec,df,0.0043859649122807015
SP,ELR,0.2,vasc,nv,0.0
SP,ELR,0.2,vasc,bkl,-0.01020408163265306
SP,ELR,0.2,vasc,mel,-0.01020408163265306
SP,ELR,0.2,vasc,bcc,0.04081632653061225
SP,ELR,0.2,vasc,akiec,0.0
SP,ELR,0.2,vasc,vasc,-0.04081632653061218
SP,ELR,0.2,vasc,df,0.020408163265306124
SP,ELR,0.2,df,nv,0.0
SP,ELR,0.2,df,bkl,0.0547945205479452
SP,ELR,0.2,df,mel,0.0
SP,ELR,0.2,df,bcc,0.0958904109589041
SP,ELR,0.2,df,akiec,-0.0410958904109589
SP,ELR,0.2,df,vasc,0.0273972602739726
SP,ELR,0.2,df,df,-0.136986301369863
SP,AsyCo,0.2,nv,nv,-0.5881917453266704
SP,AsyCo,0.2,nv,bkl,0.002961317786414952
SP,AsyCo,0.2,nv,mel,0.12419026466777718
SP,AsyCo,0.2,nv,bcc,0.029057930779196744
SP,AsyCo,0.2,nv,akiec,0.037756801776790666
SP,AsyCo,0.2,nv,vasc,0.25393300018508236
SP,AsyCo,0.2,nv,df,0.14029243013140846
SP,AsyCo,0.2,bkl,nv,-0.07290233837689133
SP,AsyCo,0.2,bkl,bkl,-0.12792297111416784
SP,AsyCo,0.2,bkl,mel,-0.0068775790921595525
SP,AsyCo,0.2,bkl,bcc,0.03301237964236588
SP,AsyCo,0.2,bkl,akiec,0.14580467675378264
SP,AsyCo,0.2,bkl,vasc,0.034387895460797804
SP,AsyCo,0.2,bkl,df,-0.005502063273727653
SP,AsyCo,0.2,mel,nv,-0.06677524429967427
SP,AsyCo,0.2,mel,bkl,0.030944625407166124
SP,AsyCo,0.2,mel,mel,-0.09771986970684038
SP,AsyCo,0.2,mel,bcc,0.01954397394136808
SP,AsyCo,0.2,mel,akiec,0.0993485342019544
SP,AsyCo,0.2,mel,vasc,0.04071661237785017
SP,AsyCo,0.2,mel,df,-0.026058631921824102
SP,AsyCo,0.2,bcc,nv,0.0
SP,AsyCo,0.2,bcc,bkl,-0.009174311926605505
SP,AsyCo,0.2,bcc,mel,-0.003058103975535168
SP,AsyCo,0.2,bcc,bcc,0.02752293577981657
SP,AsyCo,0.2,bcc,akiec,0.0
SP,AsyCo,0.2,bcc,vasc,0.003058103975535159
SP,AsyCo,0.2,bcc,df,-0.01834862385321101
SP,AsyCo,0.2,akiec,nv,-0.0043859649122807015
SP,AsyCo,0.2,akiec,bkl,0.0043859649122807015
SP,AsyCo,0.2,akiec,mel,-0.013157894736842105
SP,AsyCo,0.2,akiec,bcc,0.0
SP,AsyCo,0.2,akiec,akiec,0.004385964912280715
SP,AsyCo,0.2,akiec,vasc,0.021929824561403508
SP,AsyCo,0.2,akiec,df,-0.013157894736842105
SP,AsyCo,0.2,vasc,nv,-0.07142857142857142
SP,AsyCo,0.2,vasc,bkl,-0.020408163265306124
SP,AsyCo,0.2,vasc,mel,0.01020408163265306
SP,AsyCo,0.2,vasc,bcc,0.01020408163265306
SP,AsyCo,0.2,vasc,akiec,-0.020408163265306124
SP,AsyCo,0.2,vasc,vasc,0.12244897959183676
SP,AsyCo,0.2,vasc,df,-0.030612244897959186
SP,AsyCo,0.2,df,nv,0.0
SP,AsyCo,0.2,df,bkl,0.0
SP,AsyCo,0.2,df,mel,0.0
SP,AsyCo,0.2,df,bcc,0.0273972602739726
SP,AsyCo,0.2,df,akiec,0.0273972602739726
SP,AsyCo,0.2,df,vasc,0.0273972602739726
SP,AsyCo,0.2,df,df,-0.0821917808219178
A,baseline,0.2,nv,nv,-0.5385896724042198
A,baseline,0.2,nv,bkl,-0.002961317786414952
A,baseline,0.2,nv,mel,0.007773459189339249
A,baseline,0.2,nv,bcc,0.05589487321858226
A,baseline,0.2,nv,akiec,0.0705163797890061
A,baseline,0.2,nv,vasc,0.27188598926522306
A,baseline,0.2,nv,df,0.13548028872848417
A,baseline,0.2,bkl,nv,-0.023383768913342505
A,baseline,0.2,bkl,bkl,-0.14580467675378267
A,baseline,0.2,bkl,mel,-0.10866574965612105
A,baseline,0.2,bkl,bcc,0.06602475928473177
A,baseline,0.2,bkl,akiec,0.15130674002751032
A,baseline,0.2,bkl,vasc,0.017881705639614855
A,baseline,0.2,bkl,df,0.04264099037138927
A,baseline,0.2,mel,nv,-0.014657980456026058
A,baseline,0.2,mel,bkl,0.03420195439739414
A,baseline,0.2,mel,mel,-0.3013029315960912
A,baseline,0.2,mel,bcc,0.04071661237785016
A,baseline,0.2,mel,akiec,0.19055374592833874
