dataset,noise_type,tau,fold,mae,cosine
imbalanced,feature_driven,0.4,4,0.09232985871950126,0.8959699151197474
imbalanced,feature_driven,0.4,5,0.09678960292217004,0.8696725416473949
imbalanced,feature_driven,0.4,6,0.0938008702209111,0.9026861950213144
imbalanced,feature_driven,0.4,7,0.08823883419491396,0.9065736122166057
imbalanced,feature_driven,0.4,8,0.09424989618250099,0.8879465742899738
imbalanced,feature_driven,0.4,9,0.09572347572390585,0.8778041083920954
imbalanced,feature_driven,0.5,0,0.08775383753946923,0.9250894676770316
imbalanced,feature_driven,0.5,1,0.09060903079147559,0.9102451682151779
imbalanced,feature_driven,0.5,2,0.09256200383717968,0.8928917559437566
imbalanced,feature_driven,0.5,3,0.0959792308412211,0.8886028364196467
imbalanced,feature_driven,0.5,4,0.09204851060153604,0.9004483197252097
imbalanced,feature_driven,0.5,5,0.098556753199815,0.8756280683628104
imbalanced,feature_driven,0.5,6,0.09116884376730224,0.9067676571941012
imbalanced,feature_driven,0.5,7,0.08969356026111985,0.9101770825954733
imbalanced,feature_driven,0.5,8,0.09374126951608466,0.893580005210918
imbalanced,feature_driven,0.5,9,0.09780112926874104,0.880906010493579
imbalanced,normalized,0.1,0,0.22744136766809672,0.3344738500975453
imbalanced,normalized,0.1,1,0.21036200861771376,0.3740947746428461
imbalanced,normalized,0.1,2,0.2408112034573181,0.2895508245103105
imbalanced,normalized,0.1,3,0.19087994251532353,0.4533656789347638
imbalanced,normalized,0.1,4,0.2563544575082319,0.22015333739802986
imbalanced,normalized,0.1,5,0.1988068193380021,0.46480391547606653
imbalanced,normalized,0.1,6,0.19630774348841667,0.5019373790126243
imbalanced,normalized,0.1,7,0.16464068099444584,0.5950883772155579
imbalanced,normalized,0.1,8,0.2560638523772431,0.21012369028849343
imbalanced,normalized,0.1,9,0.17716179887743913,0.5558853872503634
imbalanced,normalized,0.2,0,0.22507278322765828,0.3328237535462053
imbalanced,normalized,0.2,1,0.20842877841482488,0.3726563179836941
imbalanced,normalized,0.2,2,0.2452351577185924,0.27066491318438374
imbalanced,normalized,0.2,3,0.19482355583714328,0.4312560690080513
imbalanced,normalized,0.2,4,0.2585082549326252,0.212645690763109
imbalanced,normalized,0.2,5,0.19966985147295382,0.4626930475028779
imbalanced,normalized,0.2,6,0.19544825891864848,0.5014035019263058
imbalanced,normalized,0.2,7,0.16275870052639196,0.600887671720038
imbalanced,normalized,0.2,8,0.25308637295318676,0.217663170310709
imbalanced,normalized,0.2,9,0.17829207530407504,0.5514527202708751
imbalanced,normalized,0.3,0,0.2248738941587333,0.3326750363474603
imbalanced,normalized,0.3,1,0.2106977725288534,0.3597712035676861
imbalanced,normalized,0.3,2,0.24509935417894327,0.26640784302643855
imbalanced,normalized,0.3,3,0.19026615883318526,0.4441525308474317
imbalanced,normalized,0.3,4,0.258236891212586,0.20981037430686644
imbalanced,normalized,0.3,5,0.19903267240393022,0.4681012724810518
imbalanced,normalized,0.3,6,0.1922985273704642,0.5087381013525905
imbalanced,normalized,0.3,7,0.16143415608354625,0.599446625929266
imbalanced,normalized,0.3,8,0.25285576692344447,0.2163886968853648
imbalanced,normalized,0.3,9,0.17478045198764144,0.556545278718708
imbalanced,normalized,0.4,0,0.22332511884050904,0.33104438225866434
imbalanced,normalized,0.4,1,0.20953009837983144,0.368349568330528
imbalanced,normalized,0.4,2,0.2470519049047509,0.2597194766030693
imbalanced,normalized,0.4,3,0.19282748310141237,0.4282887436916975
imbalanced,normalized,0.4,4,0.25606211216593183,0.21630413176592353
imbalanced,normalized,0.4,5,0.20029642894070174,0.46710454719805844
imbalanced,normalized,0.4,6,0.19172675151330912,0.5130587412582812
imbalanced,normalized,0.4,7,0.15699668875876172,0.6159431490082129
imbalanced,normalized,0.4,8,0.2509106918742748,0.22101197845397322
imbalanced,normalized,0.4,9,0.17744190945605257,0.552833536005897
imbalanced,normalized,0.5,0,0.22785786438944267,0.3142155943349679
imbalanced,normalized,0.5,1,0.20873154937112418,0.3673598640237112
imbalanced,normalized,0.5,2,0.24649915649647283,0.26169933637065296
imbalanced,normalized,0.5,3,0.19600447613977282,0.42081889033842357
imbalanced,normalized,0.5,4,0.25673169246142474,0.2100711253835272
imbalanced,normalized,0.5,5,0.19942084162271384,0.4698406961157347
imbalanced,normalized,0.5,6,0.19392794521540122,0.5088977905227648
imbalanced,normalized,0.5,7,0.15378658292295472,0.6224274362159316
imbalanced,normalized,0.5,8,0.25173056779021585,0.22116986967196484
imbalanced,normalized,0.5,9,0.17637900032825024,0.5574572555717336
