protocol,method,tau,fold,nta,lnmr,residual
AP,AsyCo,0.0,4,,,
AP,AsyCo,0.0,5,,,
AP,AsyCo,0.0,6,,,
AP,AsyCo,0.0,7,,,
AP,AsyCo,0.0,8,,,
AP,AsyCo,0.0,9,,,
AP,AsyCo,0.1,0,0.2313084112149532,0.2920560747663551,0.47663551401869164
AP,AsyCo,0.1,1,0.2758215962441314,0.3286384976525822,0.39553990610328643
AP,AsyCo,0.1,2,0.2191464821222606,0.3344867358708189,0.4463667820069205
AP,AsyCo,0.1,3,0.2361275088547816,0.3116883116883117,0.4521841794569067
AP,AsyCo,0.1,4,0.2853658536585365,0.2939024390243902,0.42073170731707327
AP,AsyCo,0.1,5,0.2672209026128266,0.2933491686460807,0.4394299287410927
AP,AsyCo,0.1,6,0.2133027522935779,0.3199541284403669,0.4667431192660552
AP,AsyCo,0.1,7,0.1295454545454545,0.2625,0.6079545454545454
AP,AsyCo,0.1,8,0.1993243243243243,0.3479729729729729,0.45270270270270274
AP,AsyCo,0.1,9,0.2637106184364061,0.3313885647607935,0.40490081680280043
AP,AsyCo,0.2,0,0.1974156496769562,0.3129935391241923,0.48959081119885145
AP,AsyCo,0.2,1,0.2115107913669064,0.3093525179856115,0.4791366906474821
AP,AsyCo,0.2,2,0.2219020172910663,0.3443804034582132,0.4337175792507205
AP,AsyCo,0.2,3,0.1881918819188192,0.2863468634686347,0.5254612546125461
AP,AsyCo,0.2,4,0.1649253731343283,0.3567164179104478,0.4783582089552239
AP,AsyCo,0.2,5,0.2699926632428466,0.342626559060895,0.38738077769625834
AP,AsyCo,0.2,6,0.2001429592566118,0.3295210864903502,0.47033595425303804
AP,AsyCo,0.2,7,0.201423487544484,0.3629893238434163,0.43558718861209966
AP,AsyCo,0.2,8,0.1889367816091954,0.2938218390804598,0.5172413793103449
AP,AsyCo,0.2,9,0.2448529411764705,0.2823529411764706,0.4727941176470589
AP,AsyCo,0.3,0,0.1741049534085336,0.2883766552231486,0.5375183913683178
AP,AsyCo,0.3,1,0.2295002426006792,0.3139252789907811,0.45657447840853976
AP,AsyCo,0.3,2,0.1862449799196787,0.2605421686746988,0.5532128514056225
AP,AsyCo,0.3,3,0.1389162561576354,0.3669950738916256,0.494088669950739
AP,AsyCo,0.3,4,0.1843037974683544,0.2688607594936709,0.5468354430379747
