protocol,method,tau,n,nta,nta_lo,nta_hi,lnmr,lnmr_lo,lnmr_hi,residual,residual_lo,residual_hi
S,AsyCo,0.5,10,0.08536207643741507,0.07577215396090436,0.09600876895466155,0.20946240513935582,0.1979318601808067,0.2205368878406173,0.7051755184232291,0.6899980970435388,0.7195268579988817
S,ELR,0.0,10,,,,,,,,,
S,ELR,0.1,10,0.11045802954994155,0.1048713498710257,0.11644406761415654,0.4409838483109262,0.42116797545523216,0.45986779866667427,0.44855812213913226,0.42874462066658753,0.46960947930805685
S,ELR,0.2,10,0.10344167150469852,0.0978026487134678,0.10842847732668774,0.4150091619890534,0.3949873866616313,0.43281100564606145,0.4815491665062481,0.46156294834643746,0.5031362487755358
S,ELR,0.3,10,0.090067912577367,0.08667125476597594,0.0934114921811453,0.3626637242604499,0.3523833865869797,0.37305276053172076,0.5472683631621831,0.5354833921945331,0.5594293822314915
S,ELR,0.4,10,0.07904844461300846,0.07612397042008934,0.08234367444902786,0.33151931366284215,0.32133595991294445,0.3409239260567288,0.5894322417241493,0.5783750369231744,0.6008617907145435
S,ELR,0.5,10,0.07057261261251808,0.067114949299775,0.0735232408112896,0.29483077966814675,0.28365875646788224,0.3043335997642916,0.6345966077193351,0.623409493264711,0.648466377693658
S,SCE,0.0,10,,,,,,,,,
S,SCE,0.1,10,0.43506275803662764,0.4207384873026888,0.4501216845282937,0.42889093204708617,0.417526204178273,0.4408290962172533,0.13604630991628616,0.12492286012751352,0.14683471981037574
S,SCE,0.2,10,0.3593607512470694,0.3499616615846975,0.3676946036512202,0.45524295903567147,0.4446608334677652,0.4653300971127054,0.18539628971725924,0.17494996790661607,0.19791550398319174
S,SCE,0.3,10,0.29586001074683665,0.28497258308663737,0.30542374185668647,0.45261156071993175,0.444782567335322,0.46159233367509955,0.2515284285332316,0.2423128346800616,0.26105633969669545
S,SCE,0.4,10,0.1977569229894577,0.17996527767211684,0.21784784952980546,0.4741455492346926,0.45476334971846843,0.49484732593937847,0.3280975277758496,0.3153250160532011,0.33826888983111075
S,SCE,0.5,10,0.1427860326834685,0.1304594904245485,0.15667888721243733,0.47545032913252233,0.46506638005408163,0.4866108710911983,0.38176363818400916,0.3716361432269572,0.3926367142292928
S,baseline,0.0,10,,,,,,,,,
S,baseline,0.1,10,0.10998283521416688,0.10502846132397747,0.11418707923563882,0.4659592062174232,0.4501820992057542,0.4813046256122773,0.4240579585684099,0.4082606240539208,0.4405322942664479
S,baseline,0.2,10,0.10410634931903406,0.1001879483413642,0.10802189150129682,0.43470098527022805,0.420362760560217,0.449485052728071,0.46119266541073795,0.4441866718894594,0.4764133994239477
S,baseline,0.3,10,0.09433460359810489,0.09062637785134749,0.09786781981134234,0.38806938529616536,0.3760361664627984,0.4003960646261189,0.5175960111057297,0.5039827321951313,0.5308367383255321
S,baseline,0.4,10,0.0853119650250368,0.08319340940412204,0.0875796748010802,0.35907546565688914,0.35281556147248205,0.36558784302408637,0.5556125693180741,0.5478150462247973,0.5627567860434965
S,baseline,0.5,10,0.07666268877638974,0.07401989241937466,0.07901607516862756,0.31753836465441704,0.30871479300719296,0.32696007843084973,0.6057989465691932,0.5945635242856574,0.6162411631339632
SP,AsyCo,0.0,10,,,,,,,,,
SP,AsyCo,0.1,10,0.1787204252813311,0.1543643188846957,0.20482120401412163,0.32318337795276464,0.29440536188229066,0.3540419972160067,0.4980961967659042,0.45623575421238444,0.5358378237244482
SP,AsyCo,0.2,10,0.14618470562554592,0.13391093035941717,0.15992885491492623,0.3453503712078967,0.3148375044578847,0.37577332408890896,0.5084649231665574,0.47230292635297577,0.5455261708444825
SP,AsyCo,0.3,10,0.11502799721185233,0.09979084282334155,0.13481148120078001,0.26955634410670987,0.2402622073433476,0.295931969243113,0.615415658681438,0.5834108029128233,0.6505556222991702
SP,AsyCo,0.4,10,0.15270694609382537,0.12915517074531208,0.17831747491201563,0.3132645620057078,0.28739823744920007,0.3387840495117571,0.5340284919004669,0.5070011109970957,0.5570934462338839
SP,AsyCo,0.5,10,0.12273599893486713,0.1057770135411098,0.14101689228634384,0.3168033034658004,0.29778708837332896,0.3348200988251078,0.5604606975993325,0.5395925650260414,0.5854050715607074
SP,ELR,0.0,10,,,,,,,,,
SP,ELR,0.1,10,0.11526598373253694,0.11083240781828005,0.11926402131455033,0.6658815560668602,0.6263505058163229,0.6989114531012588,0.21885246020060295,0.18614360387391335,0.25827690833554706
SP,ELR,0.2,10,0.11725978088269762,0.11252534104423378,0.1221477656203523,0.6837558422357656,0.6627841699891092,0.7047740450693797,0.19898437688153683,0.17793147557903585,0.21997761904791854
SP,ELR,0.3,10,0.10626245165987495,0.10398036396083232,0.10851865840702647,0.6532924940559091,0.6195110710515217,0.6822861334336136,0.24044505428421595,0.2102954021382012,0.27484332735849054
SP,ELR,0.4,10,0.10072798530565075,0.09634387695914784,0.1052983913779248,0.5734849389619951,0.5417644230793647,0.6025974870253779,0.3257870757323541,0.29365096985955347,0.360297419107732
SP,ELR,0.5,10,0.09493963318076513,0.09089088737734806,0.09853339909080562,0.5882434185137846,0.5676587002431948,0.6097384878919981,0.31681694830545026,0.2932409326163463,0.34081324886603126
SP,SCE,0.0,10,,,,,,,,,
SP,SCE,0.1,10,0.401223186319828,0.3847427867378396,0.41792536072386355,0.5690694601320456,0.5472869319875379,0.5890369616943619,0.029707353548126446,0.023655467796433054,0.03649255468604853
SP,SCE,0.2,10,0.3197708895490695,0.3099001697142559,0.3332999251104317,0.6371143247024332,0.6272425074222183,0.6465135122918575,0.04311478574849729,0.037733305652264605,0.04750074747158475
SP,SCE,0.3,10,0.2697934478746069,0.2606074641889059,0.28075296288716445,0.6701167640844659,0.6589920452478586,0.6800827422763146,0.06008978804092716,0.05635800384096011,0.06378283074055062
SP,SCE,0.4,10,0.21953354294948343,0.20816780709265945,0.23072831152496673,0.6947019820244724,0.6838279681759631,0.7055158770293992,0.08576447502604423,0.08052034719833681,0.09064760921584818
SP,SCE,0.5,10,0.19519701328374928,0.18408272042645077,0.2051469185372986,0.6958545038527929,0.6825149114382293,0.7087365952439811,0.10894848286345786,0.1022761007506829,0.11588363909501917
SP,baseline,0.0,10,,,,,,,,,
SP,baseline,0.1,10,0.11646710057835596,0.1095267413236874,0.12217697220708738,0.759431361042846,0.74164290729048,0.7788433029481467,0.124101538378798,0.10931206183125917,0.13830106763249708
SP,baseline,0.2,10,0.11079225995125468,0.1052975919008555,0.11593517925381562,0.7441306773350315,0.731802299923332,0.7579940109893527,0.1450770627137139,0.13429910874085582,0.15578695648306443
SP,baseline,0.3,10,0.10987458422329269,0.10682958615458994,0.11311688478234146,0.6965155470463081,0.6795308946739285,0.7124854139645885,0.19360986873039915,0.1785360993556081,0.21038733722625105
SP,baseline,0.4,10,0.11097463778245953,0.105712381815401,0.11590382198864868,0.6526401184783144,0.6380016211579694,0.6692670324787181,0.23638524373922606,0.21790392777669615,0.2526866862144485
SP,baseline,0.5,10,0.12024769790808425,0.11497144211408901,0.12478267545387389,0.6354831175454496,0.6117090081948506,0.6573926493591866,0.24426918454646618,0.22099631872688302,0.27106108813948065
