metric,method,tau,mean,lo,hi,n
MacroF1,ELR,0.0,0.417017582182979,0.39284180726164,0.448942871745435,10
MacroF1,ELR,0.1,0.24978368794655387,0.24039499049443472,0.2580791363097998,10
MacroF1,ELR,0.2,0.24166146778670483,0.2320644001830179,0.2509434637070528,10
MacroF1,ELR,0.3,0.2084985093633503,0.19848474623195753,0.21696294096201402,10
MacroF1,ELR,0.4,0.1809361926271133,0.1760890634977808,0.1860627904252224,10
MacroF1,ELR,0.5,0.16141171143476665,0.15550082303083174,0.1674954335753017,10
MacroF1,AsyCo,0.0,0.4349320817240915,0.4170764386112095,0.45119712519002186,10
MacroF1,AsyCo,0.1,0.28733950951309783,0.2728554946838399,0.29888421215777067,10
MacroF1,AsyCo,0.2,0.2579827069428784,0.24456971214803225,0.2717933489877942,10
MacroF1,AsyCo,0.3,0.2252607079770204,0.21460515186262147,0.23470619498793613,10
MacroF1,AsyCo,0.4,0.20789323714467275,0.189022531549714,0.22596143361127205,10
MacroF1,AsyCo,0.5,0.19198584090195445,0.1776998589211151,0.20615612844067518,10
MacroAUC,baseline,0.0,0.9450886730450201,0.9408603901029793,0.9493696160801794,10
MacroAUC,baseline,0.1,0.8759734086972418,0.8694663004317339,0.8830161342197774,10
MacroAUC,baseline,0.2,0.862605250607146,0.8537027435334745,0.8702092911826516,10
MacroAUC,baseline,0.3,0.8330279580414656,0.8190800582627313,0.8462669201544268,10
MacroAUC,baseline,0.4,0.8222721897409428,0.8134255096819495,0.8302213087129798,10
MacroAUC,baseline,0.5,0.7999700535518743,0.7849228862575386,0.8142928122059154,10
MacroAUC,SCE,0.0,0.9590258108054097,0.9547077862463834,0.9632278807767535,10
MacroAUC,SCE,0.1,0.9077671929164497,0.8996486537658623,0.9150535762863061,10
MacroAUC,SCE,0.2,0.8902631629922799,0.8821158215298079,0.8987707001562444,10
MacroAUC,SCE,0.3,0.8650209675987002,0.8541710286784476,0.8747826559459048,10
MacroAUC,SCE,0.4,0.8356316313843329,0.8281802644001597,0.8431694733024446,10
MacroAUC,SCE,0.5,0.8190383460075473,0.8080280410206419,0.829360921674194,10
MacroAUC,ELR,0.0,0.8970343346867173,0.883606695442811,0.9096472062453534,10
MacroAUC,ELR,0.1,0.8573021591156527,0.8521884301707725,0.8632790971624654,10
MacroAUC,ELR,0.2,0.8464256729447657,0.8367950490547266,0.8552578390947936,10
MacroAUC,ELR,0.3,0.8242809426849595,0.8122418053685214,0.8352907505756756,10
MacroAUC,ELR,0.4,0.8029699617098018,0.7915885509886238,0.8135779431037403,10
MacroAUC,ELR,0.5,0.7827412936345478,0.7685133103914603,0.7978713480436798,10
MacroAUC,AsyCo,0.0,0.9153661837100918,0.8976657954501327,0.9285416672421636,10
MacroAUC,AsyCo,0.1,0.8608160050511323,0.8392027002739154,0.8753763590986624,10
MacroAUC,AsyCo,0.2,0.8531689895223108,0.8373531333618385,0.8656895664476711,10
MacroAUC,AsyCo,0.3,0.8484096635680165,0.8410292642848037,0.8568875923667922,10
MacroAUC,AsyCo,0.4,0.8396838860475265,0.829069600749696,0.8510648520040911,10
MacroAUC,AsyCo,0.5,0.8248361489283262,0.8154060237181137,0.8361155775879459,10
