metric,method,tau,n,delta,delta_ci_lo,delta_ci_hi,W,p_wilcoxon,p_perm,r_rb,direction,n_boot,perm_exact,mean_delta,p_raw,p_wilcoxon_holm,p_perm_holm,sig,sig_perm,concordant,flag,p_holm
MacroF1,AsyCo,0.5,10,0.022359122617975093,0.008014121594630786,0.03717432180438834,6.0,0.02734375,0.01953125,0.7818181818181819,1,10000,True,0.022359122617975093,0.02734375,0.08203125,0.0703125,n.s.,n.s.,True,,0.08203125
MacroAUC,SCE,0.0,10,0.01393713776038974,0.009705450986248011,0.01799444665108113,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01393713776038974,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,SCE,0.1,10,0.03179378421920798,0.025472137435689712,0.038943560759360445,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.03179378421920798,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,SCE,0.2,10,0.027657912385133897,0.022049874566050127,0.03295618126210135,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.027657912385133897,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,SCE,0.3,10,0.031993009557234484,0.021388900585833415,0.04265333592449826,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.031993009557234484,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,SCE,0.4,10,0.013359441643390113,0.008976404316083698,0.01769423301240472,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.013359441643390113,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,SCE,0.5,10,0.019068292455673107,0.0066463810936624,0.03405487181122005,4.0,0.013671875,0.01171875,0.8545454545454545,1,10000,True,0.019068292455673107,0.013671875,0.013671875,0.01171875,+*,+*,True,,0.013671875
MacroAUC,ELR,0.0,10,-0.04805433835830275,-0.0589527141753882,-0.03621614749310466,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.04805433835830275,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroAUC,ELR,0.1,10,-0.01867124958158901,-0.021943074940441742,-0.015464720172717904,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.01867124958158901,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroAUC,ELR,0.2,10,-0.016179577662380384,-0.02212256587871264,-0.011141888220942479,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.016179577662380384,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroAUC,ELR,0.3,10,-0.008747015356506104,-0.01898921262260623,0.001833901297185821,12.0,0.130859375,0.15234375,-0.5636363636363637,-1,10000,True,-0.008747015356506104,0.130859375,0.130859375,0.15234375,n.s.,n.s.,True,,0.130859375
MacroAUC,ELR,0.4,10,-0.01930222803114101,-0.023670941641324952,-0.015193390558776988,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.01930222803114101,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroAUC,ELR,0.5,10,-0.017228759917326485,-0.025067545341002674,-0.008904782107550696,3.0,0.009765625,0.0078125,-0.8909090909090909,-1,10000,True,-0.017228759917326485,0.009765625,0.01953125,0.015625,-*,-*,True,,0.01953125
MacroAUC,AsyCo,0.0,10,-0.02972248933492829,-0.04633686848673302,-0.015676775551792827,1.0,0.00390625,0.00390625,-0.9636363636363636,-1,10000,True,-0.02972248933492829,0.00390625,0.01953125,0.01953125,-*,-*,True,,0.01953125
MacroAUC,AsyCo,0.1,10,-0.01515740364610938,-0.032939892576968575,-0.0019291680990807351,8.0,0.048828125,0.052734375,-0.7090909090909091,-1,10000,True,-0.01515740364610938,0.048828125,0.111328125,0.111328125,n.s.,n.s.,True,,0.111328125
MacroAUC,AsyCo,0.2,10,-0.00943626108483513,-0.02621456853692177,0.005056322249075854,17.0,0.322265625,0.322265625,-0.38181818181818183,-1,10000,True,-0.00943626108483513,0.322265625,0.322265625,0.322265625,n.s.,n.s.,True,,0.322265625
MacroAUC,AsyCo,0.3,10,0.01538170552655086,0.0035664711774753403,0.025645284712787188,7.0,0.037109375,0.037109375,0.7454545454545455,1,10000,True,0.01538170552655086,0.037109375,0.111328125,0.111328125,n.s.,n.s.,True,,0.111328125
MacroAUC,AsyCo,0.4,10,0.017411696306583624,0.011527182966058614,0.023367916320289474,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.017411696306583624,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,AsyCo,0.5,10,0.02486609537645188,0.014337369484961934,0.03560911517270682,1.0,0.00390625,0.00390625,0.9636363636363636,1,10000,True,0.02486609537645188,0.00390625,0.01953125,0.01953125,+*,+*,True,,0.01953125
