metric,tau,method_a,method_b,n,delta,delta_ci_lo,delta_ci_hi,W,p_wilcoxon,p_perm,r_rb,direction,n_boot,perm_exact,mean_delta,p_raw,p_wilcoxon_holm,p_perm_holm,sig,sig_perm,concordant,flag,p_holm
MacroF1,0.4,baseline,ELR,10,0.007438708753748147,0.0025706251301047933,0.012098819740234537,5.0,0.01953125,0.021484375,0.8181818181818181,1,10000,True,0.007438708753748147,0.01953125,0.05859375,0.046875,n.s.,+*,False,!,0.05859375
MacroF1,0.4,baseline,AsyCo,10,-0.01951833576381135,-0.03720169500573397,-0.002995197059490617,9.0,0.064453125,0.060546875,-0.6727272727272727,-1,10000,True,-0.01951833576381135,0.064453125,0.064453125,0.060546875,n.s.,n.s.,True,,0.064453125
MacroF1,0.4,SCE,ELR,10,0.0960138514219177,0.08448174707644046,0.10784242169337106,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.0960138514219177,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroF1,0.4,SCE,AsyCo,10,0.06905680690435821,0.047967779643359854,0.08920588725704866,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.06905680690435821,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroF1,0.4,ELR,AsyCo,10,-0.02695704451755949,-0.04248467634617737,-0.010617008956737799,6.0,0.02734375,0.015625,-0.7818181818181819,-1,10000,True,-0.02695704451755949,0.02734375,0.05859375,0.046875,n.s.,-*,False,!,0.05859375
MacroF1,0.5,baseline,SCE,10,-0.06368457631676347,-0.07427677177279736,-0.05322170504910843,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.06368457631676347,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroF1,0.5,baseline,ELR,10,0.008215006849212711,-0.0008318930683594023,0.01538694012660487,10.0,0.083984375,0.099609375,0.6363636363636364,1,10000,True,0.008215006849212711,0.083984375,0.083984375,0.099609375,n.s.,n.s.,True,,0.083984375
MacroF1,0.5,baseline,AsyCo,10,-0.022359122617975093,-0.03704788893877082,-0.00806126668445561,6.0,0.02734375,0.01953125,-0.7818181818181819,-1,10000,True,-0.022359122617975093,0.02734375,0.0546875,0.0390625,n.s.,-*,False,!,0.0546875
MacroF1,0.5,SCE,ELR,10,0.07189958316597618,0.0615788856308846,0.08258216776586239,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.07189958316597618,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroF1,0.5,SCE,AsyCo,10,0.04132545369878837,0.03124943575074478,0.05163285300543456,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.04132545369878837,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroF1,0.5,ELR,AsyCo,10,-0.030574129467187804,-0.045410606756589804,-0.014927658280641676,4.0,0.013671875,0.01171875,-0.8545454545454545,-1,10000,True,-0.030574129467187804,0.013671875,0.041015625,0.03515625,-*,-*,True,,0.041015625
MacroAUC,0.0,baseline,SCE,10,-0.01393713776038974,-0.017936171800191657,-0.009789244911050224,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.01393713776038974,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroAUC,0.0,baseline,ELR,10,0.04805433835830275,0.03651579581683884,0.05903381313060693,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.04805433835830275,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.0,baseline,AsyCo,10,0.02972248933492829,0.015547416714870832,0.046243364291738163,1.0,0.00390625,0.00390625,0.9636363636363636,1,10000,True,0.02972248933492829,0.00390625,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.0,SCE,ELR,10,0.06199147611869249,0.04983870171709047,0.07397379119656297,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.06199147611869249,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.0,SCE,AsyCo,10,0.04365962709531803,0.03212971121316569,0.05808776359037588,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.04365962709531803,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.0,ELR,AsyCo,10,-0.01833184902337446,-0.0380246604797332,-0.0011894103365547059,12.0,0.130859375,0.076171875,-0.5636363636363637,-1,10000,True,-0.01833184902337446,0.130859375,0.130859375,0.076171875,n.s.,n.s.,True,,0.130859375
MacroAUC,0.1,baseline,SCE,10,-0.03179378421920798,-0.03904054241117466,-0.025371246503594735,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.03179378421920798,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
MacroAUC,0.1,baseline,ELR,10,0.01867124958158901,0.01539552849262067,0.021959060243813992,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01867124958158901,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.1,baseline,AsyCo,10,0.01515740364610938,0.0018845483552628174,0.033179427231369366,8.0,0.048828125,0.052734375,0.7090909090909091,1,10000,True,0.01515740364610938,0.048828125,0.09765625,0.10546875,n.s.,n.s.,True,,0.09765625
MacroAUC,0.1,SCE,ELR,10,0.05046503380079699,0.045009299568124606,0.05601090374368302,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.05046503380079699,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
MacroAUC,0.1,SCE,AsyCo,10,0.04695118786531736,0.03667025952471951,0.0621579093230896,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.04695118786531736,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
